Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.028,32.000,219.7399902,236.6199951,236.9799957,31.90999985,0.01,0.01,6987,-2,1,7015.060059,2.7322402,1.712328672,626.8173828,1.861487746,1.389989018,0.996000051,-0.732000053,0.584000051,0.089471981,2.392049313,0.947148681,231.113327,10.64333344,31.93000031,6987,7019.504883,630.0689087,0.995000064,3.42866993,None,58.38999939,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.90000153,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.38999939,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.040,32.000,219.7399902,236.6199951,236.9799957,31.90999985,0.01,0.01,6987,-2,1,7015.060059,2.72479558,1.712328672,626.8173828,1.85054338,1.389989018,0.996000051,-0.734000027,0.584000051,0.089471981,2.394989491,0.947148681,231.113327,10.64333344,31.93000031,6987,7019.49707,630.0579224,0.995000064,3.431610107,None,58.38999939,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.90000153,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.38999939,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.052,32.000,219.7399902,236.6199951,237.1599884,31.90999985,0.01,0.01,6987,-2,1,7015.060059,2.72479558,1.623376489,626.8173828,1.85054338,1.278808475,0.996000051,-0.734000027,0.616000056,0.089471981,2.394989491,0.907141447,231.1733246,10.64333344,31.93000031,6987,7019.408203,629.9467163,0.995000064,3.391602993,None,58.39999771,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.90000153,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.39999771,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.062,32.000,219.6900024,236.6199951,237.1599884,31.89999962,0.01,0.01,6975,-2,1,7010.049805,2.72479558,1.623376489,700.1257324,1.85054338,1.278808475,0.995000064,-0.734000027,0.616000056,0.100041069,2.394989491,0.907141447,231.156662,10.64000034,31.92000008,6974,7014.397949,703.2550659,0.994000018,3.402172089,None,58.39999771,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.8900013,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.39999771,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.072,32.000,219.6900024,236.7299957,237.1599884,31.89999962,0.01,0.01,6975,-2,1,7010.049805,2.72479558,1.623376489,700.1257324,1.85054338,1.278808475,0.995000064,-0.734000027,0.616000056,0.100041069,2.394989491,0.907141447,231.1933136,10.64000034,31.92000008,6974,7014.397949,703.2550659,0.994000018,3.402172089,None,58.39999771,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.8900013,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.39999771,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.083,32.000,219.6900024,236.7299957,236.8099976,31.89999962,0.01,0.01,6975,-2,1,7010.049805,2.5477705,1.623376489,700.1257324,1.578332901,1.278808475,0.995000064,-0.785000026,0.616000056,0.100041069,2.473492622,0.907141447,231.0766602,10.64000034,31.92000008,6974,7014.221191,702.9828491,0.994000018,3.48067522,None,58.39999771,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.8900013,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.39999771,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.098,32.000,219.6900024,236.7299957,236.8099976,31.92000008,0.01,0.01,6975,-2,1,7010.049805,2.5477705,1.57977879,700.1257324,1.578332901,1.222988605,0.995000064,-0.785000026,0.633000016,0.100041069,2.473492622,0.88537401,231.0766602,10.64000034,31.92000008,6974,7014.177246,702.927002,0.994000018,3.458907843,None,58.39999771,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.8900013,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.39999771,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.109,32.000,219.6999969,236.7299957,236.8099976,31.92000008,0.01,0.01,6980,-2,1,7015.074707,2.5477705,1.57977879,700.6225586,1.578332901,1.222988605,0.995000064,-0.785000026,0.633000016,0.100040473,2.473492622,0.88537401,231.0800018,10.64666653,31.94000053,6979,7019.202148,703.4238281,0.994000018,3.458907127,None,58.40999985,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.90999985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.40999985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.125,32.000,219.6999969,236.6100006,236.8099976,31.92000008,0.01,0.01,6980,-2,1,7015.074707,2.5477705,1.57977879,700.6225586,1.578332901,1.222988605,0.995000064,-0.785000026,0.633000016,0.100040473,2.473492622,0.88537401,231.0399933,10.64666653,31.94000053,6979,7019.202148,703.4238281,0.994000018,3.458907127,None,58.40999985,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.90999985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.40999985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.139,32.000,219.6999969,236.6100006,236.9599915,31.92000008,0.01,0.01,6980,-2,1,7015.074707,2.5477705,1.57977879,700.6225586,1.578332901,1.222988605,0.995000064,-0.785000026,0.633000016,0.100040473,2.473492622,0.88537401,231.0900116,10.64666653,31.94000053,6979,7019.202148,703.4238281,0.994000018,3.458907127,None,58.40999985,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.90999985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.40999985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
