Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.051,17.000,222.6296387,221.6605072,221.910553,15.74921322,15.85204601,15.59791756,3494.000244,3500.501709,3450.070801,3494.066162,3500.560791,3450.070801,-21.4317894,20.32603455,0,1,1,1,None,None,None,222.0365448,15.72448635,47.1734581,10444.91602,10444.57227,-1.105754852,1,None,50,547.7089844,0.213,None,None,None,None,None,None,None,None,None,None,385.5945435,383.9159851,384.3490906,384.619873,0.209058061,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,547.9229736,43.97100067,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.068,17.000,222.4475861,221.5156403,221.7846832,15.74869061,15.84693623,15.5902586,3493.770508,3501.206055,3449.939941,3493.81958,3502.088135,3451.385986,-21.4317894,20.32603455,0,1,1,1,None,None,None,221.9159698,15.73305893,47.19917679,10445.30859,10444.91602,2.626440048,1,None,50,547.7119751,0.213,None,None,None,None,None,None,None,None,None,None,385.2792053,383.6651001,384.131073,384.3584595,0.221411705,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,547.9260254,43.97100067,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.085,17.000,222.4697113,221.7108307,221.9702759,15.75545311,15.86337852,15.59031582,3495.69043,3501.206055,3449.939941,3493.81958,3502.088135,3451.385986,-21.71052361,20.1118927,0,1,1,1,None,None,None,222.0502777,15.72862911,47.18588638,10445.5498,10445.30859,-1.598630905,1,None,50,547.7160034,0.213,None,None,None,None,None,None,None,None,None,None,385.3175354,384.0031738,384.4525146,384.5910645,0.224317059,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,547.9299927,43.97100067,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.129,17.000,222.4697113,221.7108307,221.9702759,15.67966652,15.84875488,15.58583069,3495.69043,3502.444336,3447.415039,3495.764893,3502.502686,3447.415283,-22.82629395,20.1960144,0,1,1,1,None,None,None,221.9069824,15.73638248,47.20914841,10440.53125,10445.55078,-2.630279541,1,None,49.95000076,547.7189941,0.213,None,None,None,None,None,None,None,None,None,None,385.4101257,383.5639343,384.0545959,384.3428955,0.238203183,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,547.9329834,43.97100067,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.174,17.000,222.6195068,221.606308,221.6967163,15.67675018,15.7754879,15.51408768,3491.092041,3502.535645,3446.903564,3491.161133,3502.595215,3446.903564,-21.97340202,20.47424698,0,1,1,1,None,None,None,221.9741821,15.70475006,47.11425018,10402.61426,10440.53125,-1.499155045,1,None,49.95000076,547.7230225,0.213,None,None,None,None,None,None,None,None,None,None,385.5769958,383.822113,384.4114075,384.3428955,0.238203183,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,547.9329834,43.97100067,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.243,17.000,222.7557831,221.7351227,221.9465332,15.73526192,15.84696865,15.55465126,3481.017578,3487.911865,3433.684326,3481.09375,3487.966309,3433.684326,-23.06613731,19.51303291,0,1,1,1,None,None,None,222.145813,15.65544128,46.96632385,10416.85645,10402.61523,-3.553104401,1,None,49.95000076,547.7230225,0.213,None,None,None,None,None,None,None,None,None,None,385.5769958,383.822113,384.4114075,384.7565613,0.228624463,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,547.9359741,43.97100067,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.266,17.000,222.6255035,221.5966644,221.8110046,15.75082111,15.87003899,15.62096882,3484.613525,3499.202881,3433.040039,3484.695801,3499.261963,3433.040039,-23.9716053,20.34289169,0,1,1,1,None,None,None,222.0110626,15.74727631,46.96632385,10444.64258,10402.61523,-3.553104401,1,None,49.95000076,547.7260132,0.213,None,None,None,None,None,None,None,None,None,None,385.5873718,383.8054199,384.1766663,384.5231628,0.255487859,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,547.9400024,43.97100067,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.376,17.000,222.7982178,221.6282501,220.8725891,15.72345448,15.85377312,15.59348106,3496.474121,3504.609619,3443.558838,3496.546143,3504.692139,3443.558594,-22.43172646,24.05789566,0,1,1,1,None,None,None,222.0110626,15.74727631,47.24182892,10446.01563,10444.64258,1.626169205,1,None,50,547.7290039,0.213,None,None,None,None,None,None,None,None,None,None,385.8865051,383.8601379,382.5513306,384.0993347,0.215766594,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,547.9429932,43.97100067,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.400,17.000,223.0162811,221.8132629,221.4802551,15.74037266,15.84727383,15.60261917,3497.716064,3506.101074,3442.197754,3497.789307,3506.063477,3443.558594,-22.43172646,24.05789566,0,1,1,1,None,None,None,222.1032715,15.72356892,47.1707077,10446.71484,10446.01563,-0.751579285,1,None,50,547.7329712,0.213,None,None,None,None,None,None,None,None,None,None,386.2641907,384.1805725,383.6037903,384.6828613,0.225419596,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,547.9470215,43.97100067,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.419,17.000,223.1838531,221.9345551,221.629425,15.74194813,15.84130287,15.60523891,3507.155273,3513.960205,3442.197754,3497.789307,3506.063477,3444.09668,-23.56218338,21.81417274,0,1,1,1,None,None,None,222.2492676,15.73008823,47.19026566,10465.82617,10446.71484,-1.748010635,1,None,49.97999954,547.7360229,0.213,None,None,None,None,None,None,None,None,None,None,386.5544434,384.3906555,383.8621521,384.93573,0.212437943,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,547.9500122,43.97100067,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
