Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1029,32.000,216.0099945,235.4399872,234.0800018,31.65999985,0.01,0.01,6837,-2,2,6843.843262,3.333333254,2.673796654,305.9803772,2.666666508,1.774595261,0.999000072,-0.600000024,0.748000026,0.044723466,2.214297533,0.725752771,228.5099945,10.56000042,31.68000031,6837,6849.850586,310.4216309,0.998000026,2.984773874,None,85.72000122,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.64999962,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.72000122,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2040,32.000,216.0099945,235.4399872,234.0699921,31.65999985,0.01,0.01,6837,-2,2,6843.843262,3.333333254,2.673796654,305.9803772,2.666666508,1.774595261,0.999000072,-0.600000024,0.748000026,0.044723466,2.214297533,0.725752771,228.5066528,10.56000042,31.68000031,6837,6849.850586,310.4216309,0.998000026,2.984773874,None,85.72000122,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.64999962,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.72000122,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3049,32.000,216.0099945,235.4399872,234.0699921,31.6099987,0.01,0.01,6837,-2,2,6843.843262,3.333333254,2.673796654,305.9803772,2.666666508,1.774595261,0.999000072,-0.600000024,0.748000026,0.044723466,2.214297533,0.725752771,228.5066528,10.56000042,31.68000031,6825,6849.850586,310.4216309,0.998000026,2.984773874,None,85.72000122,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.64999962,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.72000122,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4062,32.000,215.5699921,235.4399872,234.0699921,31.6099987,0.01,0.01,6824,-2,2,6824,3.333333254,2.673796654,0,2.666666508,1.774595261,1,-0.600000024,0.748000026,0,2.214297533,0.725752771,228.3599854,10.54333305,31.62999916,6825,6830.007324,4.441261768,1,2.940050364,None,85.72000122,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.59999847,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.72000122,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5074,32.000,215.5699921,235.3999939,234.0699921,31.6099987,0.01,0.01,6824,-2,2,6824,3.134796143,2.673796654,0,2.413907051,1.774595261,1,-0.638000011,0.748000026,0,2.262694597,0.725752771,228.3466644,10.54333305,31.62999916,6825,6829.808594,4.188502312,1,2.988447428,None,85.72000122,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.59999847,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.72000122,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6084,32.000,215.5699921,235.3999939,234.0399933,31.6099987,0.01,0.01,6824,-2,2,6824,3.134796143,2.673796654,0,2.413907051,1.774595261,1,-0.638000011,0.748000026,0,2.262694597,0.725752771,228.3366547,10.54333305,31.62999916,6825,6829.808594,4.188502312,1,2.988447428,None,85.72999573,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.59999847,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.72999573,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7094,32.000,216,235.3999939,234.0399933,31.6799984,0.01,0.01,6824,-2,2,6824,3.134796143,2.580645084,0,2.413907051,1.6308676,1,-0.638000011,0.775000036,0,2.262694597,0.684081197,228.4799957,10.54333305,31.62999916,6843,6829.715332,4.044774532,1,2.946775913,None,85.72999573,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.59999847,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.72999573,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8105,32.000,216,235.3999939,234.0399933,31.6799984,0.01,0.01,6843,-2,2,6849.849121,3.134796143,2.580645084,306.2417297,2.413907051,1.6308676,0.999000072,-0.638000011,0.775000036,0.044722132,2.262694597,0.684081197,228.4799957,10.5666666,31.69999886,6843,6855.564453,310.286499,0.998000026,2.991497993,None,85.72999573,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.67000008,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.72999573,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9119,32.000,216,235.6699982,234.0399933,31.6799984,0.01,0.01,6843,-2,2,6849.849121,3.144653797,2.580645084,306.2417297,2.426694632,1.6308676,0.999000072,-0.636000037,0.775000036,0.044722132,2.260100126,0.684081197,228.5699921,10.5666666,31.69999886,6843,6855.574219,310.2992859,0.998000026,2.988903522,None,85.72999573,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.67000008,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.72999573,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10130,32.000,216,235.6699982,234,31.6799984,0.01,0.01,6843,-2,2,6849.849121,3.144653797,2.580645084,306.2417297,2.426694632,1.6308676,0.999000072,-0.636000037,0.775000036,0.044722132,2.260100126,0.684081197,228.5566559,10.5666666,31.69999886,6843,6855.574219,310.2992859,0.998000026,2.988903522,None,85.72999573,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.67000008,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.72999573,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11151,31.900,215.9700012,235.6699982,234,31.61999893,0.01,0.01,6843,-2,2,6849.849121,3.144653797,2.673796654,306.2417297,2.426694632,1.774595261,0.999000072,-0.636000037,0.748000026,0.044722132,2.260100126,0.725752771,228.5466766,10.54666615,31.63999939,6827,6855.66748,310.4430237,0.998000026,3.030575037,None,85.73999786,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.6099987,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.73999786,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12163,31.900,215.9700012,235.4499969,234,31.61999893,0.01,0.01,6827,-2,2,6833.833496,3.144653797,2.673796654,305.5355835,2.426694632,1.774595261,0.999000072,-0.636000037,0.748000026,0.044723466,2.260100126,0.725752771,228.4733276,10.54666615,31.63999939,6827,6839.651855,309.7368774,0.998000026,3.030576468,None,85.73999786,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.6099987,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.73999786,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
