Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.029,17.000,229.5999908,230.6799927,230.5899963,15.85999966,15.90999985,15.93999958,3640,3668,3673,3643.643311,3671.671387,3676.676514,162.9018097,164.1554108,164.380661,0.999000072,0.999000072,0.999000072,0.044723466,0.044723466,0.044723466,230.2899933,15.90333271,47.70999908,10982,10991.99121,491.4378662,0.999000072,0.134170398,None,90.8299942,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.070095152,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,90.8299942,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.038,17.000,229.5999908,230.6399994,230.5899963,15.85999966,15.90999985,15.93999958,3640,3666,3673,3643.643311,3673.34668,3676.676514,162.9018097,232.2068024,164.380661,0.999000072,0.998000026,0.999000072,0.044723466,0.06325569,0.044723466,230.2766571,15.90333271,47.70999908,10980,10993.66699,559.4892578,0.999000072,0.15270263,None,90.83999634,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.070095152,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,90.83999634,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.050,17.000,229.5999908,230.6399994,230.5499878,15.85999966,15.90999985,15.93999958,3640,3666,3673,3643.643311,3673.34668,3676.676514,162.9018097,232.2068024,164.380661,0.999000072,0.998000026,0.999000072,0.044723466,0.06325569,0.044723466,230.2633209,15.90333271,47.70999908,10980,10993.66699,559.4892578,0.999000072,0.15270263,None,90.83999634,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.070095152,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,90.83999634,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.061,17.000,229.519989,230.6399994,230.5499878,15.85999966,15.90999985,15.93999958,3640,3666,3673,3643.643311,3673.34668,3676.676514,162.9018097,232.2068024,164.380661,0.999000072,0.998000026,0.999000072,0.044723466,0.06325569,0.044723466,230.2366486,15.90333271,47.70999908,10977,10993.66699,559.4892578,0.999000072,0.15270263,None,90.83999634,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.070095152,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,90.83999634,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.077,17.000,229.519989,230.6599884,230.5499878,15.85999966,15.90999985,15.93999958,3638,3666,3673,3641.641357,3673.34668,3676.676514,162.8127747,232.2068024,164.380661,0.999000072,0.998000026,0.999000072,0.044723466,0.06325569,0.044723466,230.2433319,15.90333271,47.70999908,10977,10991.66504,559.4002686,0.999000072,0.15270263,None,90.84999847,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.070095152,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,90.84999847,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.090,17.000,229.519989,230.6599884,230.5499878,15.85999966,15.90999985,15.93999958,3638,3667,3673,3641.641357,3670.67041,3676.676514,162.8127747,164.109726,164.380661,0.999000072,0.999000072,0.999000072,0.044723466,0.044723466,0.044723466,230.2433319,15.90333271,47.70999908,10979,10988.98828,491.3031616,0.999000072,0.134170398,None,90.84999847,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.070095152,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,90.84999847,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.100,17.000,229.519989,230.6599884,230.5899963,15.85999966,15.90999985,15.93999958,3638,3667,3674,3641.641357,3670.67041,3677.67749,162.8127747,164.109726,164.4262695,0.999000072,0.999000072,0.999000072,0.044723466,0.044723466,0.044723466,230.2566681,15.90333271,47.70999908,10980,10989.98926,491.3487549,0.999000072,0.134170398,None,90.84999847,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.070095152,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,90.84999847,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.109,17.000,229.4899902,230.6599884,230.5899963,15.85999966,15.90999985,15.93999958,3639,3667,3674,3642.642334,3670.67041,3677.67749,162.8557587,164.109726,164.4262695,0.999000072,0.999000072,0.999000072,0.044723466,0.044723466,0.044723466,230.2466583,15.90333271,47.70999908,10981,10990.99023,491.3917542,0.999000072,0.134170398,None,90.86000061,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.070095152,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,90.86000061,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.131,17.000,229.4899902,230.4299927,230.5899963,15.85999966,15.90999985,15.93999958,3639,3667,3674,3642.642334,3670.67041,3677.67749,162.8557587,164.109726,164.4262695,0.999000072,0.999000072,0.999000072,0.044723466,0.044723466,0.044723466,230.1699982,15.90333271,47.70999908,10977,10990.99023,491.3917542,0.999000072,0.134170398,None,90.86000061,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.070095152,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,90.86000061,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.165,17.000,229.4899902,230.4299927,230.3300018,15.85999966,15.90999985,15.94999981,3639,3664,3674,3642.642334,3667.66748,3677.67749,162.8557587,163.978653,164.4262695,0.999000072,0.999000072,0.999000072,0.044723466,0.044723466,0.044723466,230.0833282,15.90333271,47.70999908,10975,10987.9873,491.2606812,0.999000072,0.134170398,None,90.86000061,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.070095152,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,90.86000061,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
