Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.025,32.000,225.1999969,238.2399902,237.4499969,31.01000023,0.01,0.01,6980,-3,2,6986.986328,4.016064167,3.669724703,312.371582,2.669975758,3.076829433,0.999000072,-0.747000039,0.545000017,0.044723466,2.414334536,0.994407177,233.6300049,10.34333324,31.03000069,6979,6994.672363,318.1184082,0.997000039,3.453465223,None,957.1499634,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,957.1499634,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.034,32.000,225.1999969,238.2399902,237.4499969,31.01000023,0.01,0.01,6980,-3,2,6986.986328,3.891050339,3.669724703,312.371582,2.477957487,3.076829433,0.999000072,-0.771000028,0.545000017,0.044723466,2.451206207,0.994407177,233.6300049,10.34333324,31.03000069,6979,6994.547363,317.9263916,0.997000039,3.490336895,None,957.1499634,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,957.1499634,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.043,32.000,225.1999969,238.2399902,237.1799927,31.01000023,0.01,0.01,6980,-3,2,6986.986328,3.891050339,3.838771343,312.371582,2.477957487,3.276608706,0.999000072,-0.771000028,0.521000028,0.044723466,2.451206207,1.02277422,233.5399933,10.34333324,31.03000069,6979,6994.716309,318.1261597,0.997000039,3.518703938,None,957.1499634,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,957.1499634,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.053,32.000,225.269989,238.2399902,237.1799927,31.01999855,0.01,0.01,6980,-3,2,6986.986328,3.891050339,3.838771343,312.371582,2.477957487,3.276608706,0.999000072,-0.771000028,0.521000028,0.044723466,2.451206207,1.02277422,233.5633087,10.34666634,31.03999901,6975,6994.716309,318.1261597,0.997000039,3.518703938,None,957.1499634,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.01000023,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,957.1499634,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.062,32.000,225.269989,238.269989,237.1799927,31.01999855,0.01,0.01,6977,-3,2,6990.981934,3.891050339,3.838771343,441.9275818,2.477957487,3.276608706,0.998000026,-0.771000028,0.521000028,0.06325569,2.451206207,1.02277422,233.5733185,10.34666634,31.03999901,6976,6998.711914,447.6821594,0.997000039,3.537236214,None,957.1599731,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.01000023,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,957.1599731,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.073,32.000,225.269989,238.269989,237.1799927,31.01999855,0.01,0.01,6977,-3,2,6990.981934,4.14364624,3.838771343,441.9275818,2.858286858,3.276608706,0.998000026,-0.724000037,0.521000028,0.06325569,2.380379915,1.02277422,233.5733185,10.34666634,31.03999901,6976,6998.964355,448.0624695,0.997000039,3.466409922,None,957.1599731,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.01000023,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,957.1599731,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.083,32.000,225.269989,238.269989,237.4299927,31.01000023,0.01,0.01,6977,-3,2,6990.981934,4.14364624,3.838771343,441.9275818,2.858286858,3.276608706,0.998000026,-0.724000037,0.521000028,0.06325569,2.380379915,1.02277422,233.656662,10.34666634,31.03999901,6976,6998.964355,448.0624695,0.997000039,3.466409922,None,957.1599731,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.01000023,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,957.1599731,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.093,32.000,225.3099976,238.269989,237.4299927,31.01000023,0.01,0.01,6977,-3,2,6990.981934,4.14364624,3.838771343,441.9275818,2.858286858,3.276608706,0.998000026,-0.724000037,0.521000028,0.06325569,2.380379915,1.02277422,233.6699982,10.34333324,31.03000069,6976,6998.964355,448.0624695,0.997000039,3.466409922,None,957.1599731,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,957.1599731,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.103,32.000,225.3099976,238.2399902,237.4299927,31.01000023,0.01,0.01,6977,-3,2,6990.981934,4.14364624,3.838771343,441.9275818,2.858286858,3.276608706,0.998000026,-0.724000037,0.521000028,0.06325569,2.380379915,1.02277422,233.6599884,10.34333324,31.03000069,6976,6998.964355,448.0624695,0.997000039,3.466409922,None,957.1599731,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,957.1599731,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.111,32.000,225.3099976,238.2399902,237.4099884,31.01000023,0.01,0.01,6977,-3,2,6990.981934,4.016064167,3.838771343,441.9275818,2.669975758,3.276608706,0.998000026,-0.747000039,0.521000028,0.06325569,2.414334536,1.02277422,233.6533203,10.34333324,31.03000069,6976,6998.836914,447.874176,0.997000039,3.500364542,None,957.1699829,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,957.1699829,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
