Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.026,15.000,234.4499969,233.2899933,233.0999908,14.67999935,14.56999969,14.60999966,3432,3401,3399,3445.782959,3411.233643,3409.227539,307.8895874,264.0340881,263.8768616,0.996000051,0.997000039,0.997000039,0.089471981,0.077478543,0.077478543,233.613327,14.63333225,43.89999771,10232,10266.24414,835.8005371,0.997000039,0.244429067,None,953.7699585,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.069877125,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,953.7699585,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.035,15.000,234.4499969,233.2899933,233.0999908,14.67999935,14.56999969,14.60999966,3432,3398,3399,3445.782959,3401.401123,3409.227539,307.8895874,152.0723572,263.8768616,0.996000051,0.999000072,0.997000039,0.089471981,0.044723466,0.077478543,233.613327,14.61999989,43.86000061,10229,10256.41211,723.8388062,0.997000039,0.21167399,None,953.7799683,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.096556306,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,953.7799683,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.044,15.000,234.4499969,233.2899933,233.1599884,14.67999935,14.56999969,14.60999966,3432,3398,3403,3445.782959,3401.401123,3409.81958,307.8895874,152.0723572,215.5481415,0.996000051,0.999000072,0.998000026,0.089471981,0.044723466,0.06325569,233.633316,14.61999989,43.86000061,10233,10257.00391,675.5100708,0.998000026,0.197451144,None,953.7799683,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.096556306,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,953.7799683,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.059,15.000,234.4299927,233.2899933,233.1599884,14.64999962,14.56999969,14.60999966,3431,3398,3403,3437.875732,3401.401123,3409.81958,217.3223419,152.0723572,215.5481415,0.998000026,0.999000072,0.998000026,0.06325569,0.044723466,0.06325569,233.6266479,14.60999966,43.82999802,10232,10249.09668,584.9428711,0.998000026,0.171234846,None,953.7799683,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.069439016,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,953.7799683,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.068,15.000,234.4299927,233.25,233.1599884,14.64999962,14.5899992,14.60999966,3431,3398,3403,3437.875732,3401.401123,3409.81958,217.3223419,152.0723572,215.5481415,0.998000026,0.999000072,0.998000026,0.06325569,0.044723466,0.06325569,233.613327,14.61666584,43.84999847,10233,10249.09668,584.9428711,0.998000026,0.171234846,None,953.7799683,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.05284277,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,953.7799683,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.080,15.000,234.4299927,233.25,233.2200012,14.64999962,14.5899992,14.60999966,3431,3399,3403,3437.875732,3405.811523,3409.81958,217.3223419,215.2928314,215.5481415,0.998000026,0.998000026,0.998000026,0.06325569,0.06325569,0.06325569,233.6333466,14.61666584,43.84999847,10229,10253.50684,648.1633301,0.998000026,0.189767063,None,953.789978,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.05284277,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,953.789978,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.089,15.000,234.4299927,233.25,233.2200012,14.64999962,14.5899992,14.60999966,3431,3399,3398,3437.875732,3405.811523,3408.224609,217.3223419,215.2928314,263.8010559,0.998000026,0.998000026,0.997000039,0.06325569,0.06325569,0.077478543,233.6333466,14.61666584,43.84999847,10229,10251.91211,696.4162598,0.998000026,0.203989923,None,953.789978,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.05284277,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,953.789978,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.106,15.000,234.4899902,233.25,233.2200012,14.64999962,14.5899992,14.60999966,3430,3399,3398,3436.873779,3405.811523,3408.224609,217.2579041,215.2928314,263.8010559,0.998000026,0.998000026,0.997000039,0.063256636,0.06325569,0.077478543,233.6533203,14.61666584,43.84999847,10228,10250.91016,696.3518066,0.998000026,0.203990862,None,953.789978,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.05284277,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,953.789978,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.115,15.000,234.4899902,233.1399994,233.2200012,14.64999962,14.59999943,14.60999966,3430,3401,3398,3436.873779,3407.81543,3408.224609,217.2579041,215.4181976,263.8010559,0.998000026,0.998000026,0.997000039,0.063256636,0.063254751,0.077478543,233.6166534,14.61999989,43.86000061,10230,10252.91406,696.4771729,0.998000026,0.203989938,None,953.7999878,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.045888048,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,953.7999878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.132,15.000,234.4899902,233.1399994,233.0899963,14.64999962,14.59999943,14.63999939,3430,3401,3398,3436.873779,3407.81543,3408.224609,217.2579041,215.4181976,263.8010559,0.998000026,0.998000026,0.997000039,0.063256636,0.063254751,0.077478543,233.5733185,14.63000011,43.88999939,10233,10252.91406,696.4771729,0.998000026,0.203989938,None,953.7999878,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.045888048,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,953.7999878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
