Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.021,32000,218.4837,237.1844,238.3943,31.11481,0.076448,0.085002,6790.272,-14.6437,16.23232,6790.901,16.85693,18.36714,236.0436,8.329801,8.723032,1,-0.869378,0.880026,None,None,None,None,10.416,31.24799,6788.306,6793.022,253.0965,1,None,50.04,9942.282,3.466,None,None,None,None,None,None,None,None,None,None,378.7154,410.8454,413.1839,400.9149,31.00518,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9945.749,1290.195,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.031,32000,218.4837,237.1844,238.3943,31.11481,0.076448,0.085178,6786.566,-14.59046,16.22548,6790.725,16.74737,18.39194,237.6174,8.221478,8.660109,1,-0.871209,0.882206,None,None,None,None,10.42548,31.27643,6788.201,6792.971,254.499,1,None,50.04,9942.285,3.466,None,None,None,None,None,None,None,None,None,None,378.0937,410.4423,412.8403,400.9149,31.00518,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9945.749,1290.195,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.042,32000,218.2989,236.9759,238.3604,31.14409,0.07707,0.086709,6788.541,-14.58529,16.19727,6792.741,16.73876,18.44675,238.836,8.266876,8.687648,1,-0.870423,0.880307,None,None,None,None,10.42661,31.27643,6788.201,6792.971,254.499,1,None,50.04,9942.285,3.466,None,None,None,None,None,None,None,None,None,None,378.0937,410.4423,412.8403,400.4587,31.0622,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9945.752,1290.195,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.054,32000,218.4673,236.8871,238.5304,31.08151,0.076674,0.084995,6782.993,-14.67842,16.17307,6792.741,16.73876,18.44675,238.836,8.266876,8.687648,1,-0.870423,0.880307,None,None,None,None,10.42661,31.27983,6788.002,6792.757,254.1116,1,None,50.04,9942.288,3.466,None,None,None,None,None,None,None,None,None,None,378.3854,410.2885,413.0674,400.5805,31.03727,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9945.754,1290.195,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.064,32000,218.4673,236.8871,238.5304,31.08151,0.076674,0.084995,6782.993,-14.67842,16.17307,6787.14,16.78894,18.36214,237.2315,8.149374,8.694824,1,-0.874291,0.880784,None,None,None,None,10.41439,31.24318,6784.487,6789.243,254.0757,1,None,50.04,9942.29,3.466,None,None,None,None,None,None,None,None,None,None,378.7539,410.6803,413.465,400.9565,30.99993,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9945.757,1290.195,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.074,32000,218.663,237.1133,238.7211,31.08041,0.076626,0.084335,6789.336,-14.6387,16.2183,6793.453,16.75267,18.38302,236.4744,8.146203,8.6546,1,-0.873813,0.879009,None,None,None,None,10.42151,31.26452,6791.832,6796.625,255.1874,1,None,50.04,9942.29,3.466,None,None,None,None,None,None,None,None,None,None,378.7539,410.6803,413.465,400.9565,30.99993,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9945.757,1290.195,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.083,32000,218.526,237.0503,238.5086,31.10988,0.077026,0.084552,6786.064,-14.59447,16.22648,6790.238,16.75267,18.38302,236.4744,8.146203,8.6546,1,-0.873813,0.879009,None,None,None,None,10.42151,31.26452,6791.832,6796.625,255.1874,1,None,50.04,9942.293,3.466,None,None,None,None,None,None,None,None,None,None,378.487,410.5287,413.2007,400.7388,31.0211,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9945.76,1290.195,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.093,32000,218.526,237.0503,238.5086,31.10988,0.077026,0.084552,6786.064,-14.59447,16.22648,6790.238,16.73899,18.42333,238.054,8.197276,8.724701,1,-0.871885,0.880757,None,None,None,None,10.42382,31.27146,6787.696,6792.483,254.976,1,None,50.04,9942.296,3.466,None,None,None,None,None,None,None,None,None,None,378.4781,410.4388,413.0876,400.6682,31.03308,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9945.763,1290.195,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.103,32000,218.5208,236.9739,238.5032,31.11405,0.077264,0.084672,6791.763,-14.62885,16.28623,6795.889,16.80697,18.50015,236.761,8.274721,8.775774,1,-0.86804,0.882598,None,None,None,None,10.44418,31.33254,6790.834,6795.624,255.0858,1,None,50.04,9942.299,3.466,None,None,None,None,None,None,None,None,None,None,378.4781,410.4388,413.0876,400.6682,31.03308,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9945.763,1290.195,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.113,32000,218.0443,237.2112,238.4968,31.16949,0.07761,0.08544,6790.37,-14.77072,16.24801,6794.568,16.90968,18.54786,238.7977,8.231826,8.945685,1,-0.86804,0.882598,None,None,None,None,10.44418,31.33254,6790.834,6795.624,255.0858,1,None,50.04,9942.299,3.466,None,None,None,None,None,None,None,None,None,None,377.6527,410.8499,413.0764,400.5263,31.08797,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9945.765,1290.195,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
