Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.027,32.000,216.0499878,229.3799896,229.5699921,30.80999947,0.01,0.01,6643,-3,2,6656.3125,3.649634838,3.496503353,None,None,None,0.998000026,-0.822000027,0.572000027,0.06325569,2.535710335,0.961854219,225,10.27666664,30.82999992,6642,6663.458496,None,0.996000051,3.560820341,None,1219.599976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.79999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219.599976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.038,32.000,216.0499878,229.4400024,229.5699921,30.80999947,0.01,0.01,6643,-3,2,6656.3125,3.658536434,3.496503353,None,None,None,0.998000026,-0.820000052,0.572000027,0.06325569,2.532207489,0.961854219,225.0200043,10.27666664,30.82999992,6642,6663.467773,None,0.996000051,3.557317495,None,1219.599976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.79999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219.599976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.049,32.000,216.0499878,229.4400024,229.3499908,30.80999947,0.01,0.01,6643,-3,2,6656.3125,3.658536434,3.663003683,None,None,None,0.998000026,-0.820000052,0.546000004,0.06325569,2.532207489,0.993214071,224.9466553,10.27666664,30.82999992,6642,6663.634277,None,0.996000051,3.588677406,None,1219.599976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.79999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219.599976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.058,32.000,215.7999878,229.4400024,229.3499908,30.78999901,0.01,0.01,6643,-3,2,6656.3125,3.658536434,3.663003683,None,None,None,0.998000026,-0.820000052,0.546000004,0.06325569,2.532207489,0.993214071,224.863327,10.2699995,30.80999947,6645,6663.634277,None,0.996000051,3.588677406,None,1219.599976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.77999878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219.599976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.069,32.000,215.7999878,229.3999939,229.3499908,30.78999901,0.01,0.01,6647,-3,2,6647,3.658536434,3.663003683,None,None,None,1,-0.820000052,0.546000004,0,2.532207489,0.993214071,224.8499908,10.2699995,30.80999947,6645,6654.321777,None,0.998000026,3.525421619,None,1219.599976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.77999878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219.599976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.079,32.000,215.7999878,229.3999939,229.3499908,30.78999901,0.01,0.01,6647,-3,2,6647,3.537735701,3.663003683,None,None,None,1,-0.84800005,0.546000004,0,2.582996607,0.993214071,224.8499908,10.2699995,30.80999947,6645,6654.200684,None,0.998000026,3.576210737,None,1219.609985,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.77999878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219.609985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.090,32.000,215.7999878,229.3999939,229.5999908,30.78999901,0.01,0.01,6647,-3,2,6647,3.537735701,3.496503353,None,None,None,1,-0.84800005,0.572000027,0,2.582996607,0.961854219,224.9333344,10.2699995,30.80999947,6645,6654.03418,None,0.998000026,3.544850826,None,1219.609985,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.77999878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219.609985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.101,32.000,216.1299896,229.3999939,229.5999908,30.78999901,0.01,0.01,6647,-3,2,6647,3.537735701,3.496503353,None,None,None,1,-0.84800005,0.572000027,0,2.582996607,0.961854219,225.0433197,10.2699995,30.80999947,6647,6654.03418,None,0.998000026,3.544850826,None,1219.609985,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.77999878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219.609985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.116,32.000,216.1299896,229.269989,229.5999908,30.78999901,0.01,0.01,6648,-3,2,6661.322266,3.537735701,3.496503353,None,None,None,0.998000026,-0.84800005,0.572000027,0.063254751,2.582996607,0.961854219,224.9999847,10.2699995,30.80999947,6647,6668.356445,None,0.997000039,3.608105659,None,1219.609985,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.77999878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219.609985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.127,32.000,216.1299896,229.269989,229.2999878,30.78999901,0.01,0.01,6648,-3,2,6661.322266,3.649634838,3.496503353,None,None,None,0.998000026,-0.822000027,0.572000027,0.063254751,2.535710335,0.961854219,224.8999786,10.2699995,30.80999947,6647,6668.468262,None,0.997000039,3.560819387,None,1219.609985,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.77999878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219.609985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
