Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.030,17.000,224.0899963,222.6599884,223.2799988,15.43999958,15.71000004,16.10000038,3460,3500,3582,3463.463135,3500,3596.385254,None,None,None,0.999000072,1,0.996000051,0.044723466,0,0.089471981,223.343338,15.75,47.25,10539,10559.84766,None,0.998000026,0.134195447,None,1215.48999,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.574749947,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1215.48999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.042,17.000,224.0899963,222.6599884,223.2799988,15.43999958,15.71000004,16.10000038,3460,3496,3582,3463.463135,3503.005859,3596.385254,None,None,None,0.999000072,0.998000026,0.996000051,0.044723466,0.06325569,0.089471981,223.343338,15.75,47.25,10539,10562.85352,None,0.998000026,0.197451144,None,1215.48999,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.574749947,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1215.48999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.054,17.000,224.0899963,222.6599884,222.6900024,15.43999958,15.71000004,16.10000038,3460,3496,3573,3463.463135,3503.005859,3587.349121,None,None,None,0.999000072,0.998000026,0.996000051,0.044723466,0.06325569,0.089471981,223.1466675,15.75,47.25,10530,10553.81836,None,0.998000026,0.197451144,None,1215.48999,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.574749947,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1215.48999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.064,17.000,224.0999908,222.6599884,222.6900024,15.43999958,15.71000004,16.10000038,3461,3496,3573,3461,3503.005859,3587.349121,None,None,None,1,0.998000026,0.996000051,0,0.06325569,0.089471981,223.1499786,15.75,47.25,10530,10551.35547,None,0.998000026,0.152727664,None,1215.5,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.574749947,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1215.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.077,17.000,224.0999908,222.5299988,222.6900024,15.43999958,15.71000004,16.10000038,3461,3496,3573,3461,3503.005859,3587.349121,None,None,None,1,0.998000026,0.996000051,0,0.06325569,0.089471981,223.1066742,15.75,47.25,10531,10551.35547,None,0.998000026,0.152727664,None,1215.5,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.574749947,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1215.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.089,17.000,224.0999908,222.5299988,222.9899902,15.43999958,15.71000004,16.1099987,3461,3497,3573,3461,3497,3587.349121,None,None,None,1,1,0.996000051,0,0,0.089471981,223.206665,15.75333309,47.25999832,10536,10545.34961,None,0.998000026,0.089471981,None,1215.5,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.58387661,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1215.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.098,17.000,224.5,222.5299988,222.9899902,15.42999935,15.71000004,16.1099987,3461,3497,3577,3461,3497,3594.974609,None,None,None,1,1,0.995000064,0,0,0.100041069,223.3400116,15.75333309,47.25999832,10540,10552.97461,None,0.998000026,0.100041069,None,1215.51001,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.58387661,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1215.51001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.108,17.000,224.5,222.5299988,222.9899902,15.42999935,15.71000004,16.1099987,3465,3497,3577,3468.468262,3497,3594.974609,None,None,None,0.999000072,1,0.995000064,0.044723466,0,0.100041069,223.3400116,15.75,47.25,10540,10560.44336,None,0.998000026,0.144764543,None,1215.51001,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.59194833,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1215.51001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.122,17.000,224.5,222.769989,222.9899902,15.42999935,15.71000004,16.1099987,3465,3500,3577,3468.468262,3500,3594.974609,None,None,None,0.999000072,1,0.995000064,0.044723466,0,0.100041069,223.4199982,15.75,47.25,10543,10563.44336,None,0.998000026,0.144764543,None,1215.51001,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.59194833,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1215.51001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.132,17.000,224.5,222.769989,223.3300018,15.42999935,15.71000004,16.10000038,3465,3500,3577,3468.468262,3500,3594.974609,None,None,None,0.999000072,1,0.995000064,0.044723466,0,0.100041069,223.5333252,15.74666595,47.23999786,10550,10563.44336,None,0.998000026,0.144764543,None,1215.51001,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.582869589,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1215.51001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
