Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.022,16000,224.3735,225.4241,228.9994,15.79271,15.94168,16.01507,3546.827,3591.167,3665.328,3548.657,3593.13,3666.97,-118.199,-120.273,-123.8785,1,1,1,None,None,None,None,15.94828,47.84485,10854.89,10860.94,-362.3504,1,None,49.98,9778.983,3.459,None,None,None,None,None,None,None,None,None,None,389.5217,392.2148,397.9714,393.236,0.042857,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.444,1262.301,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.035,16000,224.3735,225.4241,228.9994,15.79271,15.94168,16.01507,3546.827,3591.167,3665.328,3548.657,3593.13,3667.466,-113.9492,-118.7528,-125.2151,1,1,1,None,None,None,None,15.91649,47.74946,10803.32,10809.25,-357.917,1,None,49.96,9778.988,3.459,None,None,None,None,None,None,None,None,None,None,388.7646,390.8444,398.0256,392.5449,0.027165,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.447,1262.302,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.045,16000,224.46,225.6607,229.8069,15.94066,15.97119,15.96214,3570.917,3594.516,3662.382,3572.779,3596.469,3664.546,-115.3494,-118.5296,-125.9146,1,1,1,None,None,None,None,15.41634,46.24903,10530.99,10537.39,-367.1603,1,None,49.98,9778.992,3.459,None,None,None,None,None,None,None,None,None,None,388.7646,390.8444,398.0256,392.5449,0.027165,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.447,1262.302,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.056,16000,225.0428,226.1546,229.7861,15.34138,15.40615,15.37001,3444.41,3477.171,3529.471,3446.513,3479.333,3531.858,-120.3749,-122.6302,-129.8484,1,1,1,None,None,None,None,15.41634,46.24903,10530.99,10537.39,-367.1603,1,None,49.98,9778.992,3.459,None,None,None,None,None,None,None,None,None,None,389.7742,391.6998,397.9895,393.1545,0.152642,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.452,1262.302,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.065,16000,224.8795,225.5819,229.5454,15.15828,15.26072,15.37001,3444.41,3477.171,3529.471,3446.513,3479.333,3531.858,-120.3749,-122.6302,-129.8484,1,1,1,None,None,None,None,15.33134,45.99401,10451.05,10457.7,-372.8535,1,None,49.98,9778.996,3.459,None,None,None,None,None,None,None,None,None,None,389.3958,391.4225,398.1643,392.5906,0.126624,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.456,1262.302,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.077,16000,224.8795,225.5819,229.5454,15.15828,15.26072,15.29985,3405.444,3437.541,3511.728,3407.643,3439.749,3514.107,-122.4018,-123.2145,-129.2889,1,1,1,None,None,None,None,15.23962,45.70814,10347.56,10353.91,-362.7298,1,None,49.98,9779,3.459,None,None,None,None,None,None,None,None,None,None,389.1987,390.5832,397.9453,392.5906,0.126624,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.456,1262.302,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.089,16000,224.7105,225.5099,229.7606,15.16602,15.26177,15.28035,3403.459,3438.007,3506.09,3405.907,3450.484,3517.292,-119.3461,-123.1893,-129.708,1,1,1,None,None,None,None,15.22306,45.66918,10347.56,10353.91,-362.7298,1,None,49.98,9779,3.459,None,None,None,None,None,None,None,None,None,None,389.1987,390.5832,397.9453,392.5757,0.106266,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.46,1262.302,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.100,16000,224.8106,225.8715,229.9261,15.15368,15.25468,15.36414,3438.085,3450.691,3528.34,3405.907,3450.484,3517.292,-119.3461,-123.1893,-129.708,1,1,1,None,None,None,None,15.22306,45.66918,10367,10373.68,-372.2434,1,None,49.98,9779.004,3.459,None,None,None,None,None,None,None,None,None,None,391.1312,392.7418,398.7669,394.2133,0.201141,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.464,1262.302,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.110,16000,224.8106,225.8715,229.9261,15.15368,15.25468,15.36414,3438.085,3450.691,3528.34,3440.144,3452.891,3530.64,-118.9879,-123.2304,-127.4386,1,1,1,None,None,None,None,15.2575,45.7725,10417.12,10423.67,-369.6569,1,None,49.98,9779.008,3.459,None,None,None,None,None,None,None,None,None,None,389.1158,390.4286,397.6889,392.4111,0.158944,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.468,1262.302,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.120,16000,224.6627,225.4207,229.6125,15.19727,15.34253,15.36705,3415.853,3449.665,3510.699,3417.896,3451.83,3513.121,-118.1678,-122.2019,-128.7101,1,1,1,None,None,None,None,15.32466,45.97399,10386.14,10392.78,-371.3487,1,None,49.98,9779.008,3.459,None,None,None,None,None,None,None,None,None,None,389.1158,390.4286,397.6889,392.4111,0.158944,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.468,1262.302,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11.139,15900,223.8339,225.1988,229.3063,14.99664,15.31278,15.22903,3403.803,3437.142,3495.828,3405.967,3439.351,3498.245,-121.3794,-123.2567,-128.7101,1,1,1,None,None,None,None,15.32466,45.97399,10386.14,10392.78,-371.3487,1,None,49.98,9779.012,3.459,None,None,None,None,None,None,None,None,None,None,387.6803,390.0443,397.7962,391.8403,0.092233,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.473,1262.302,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12.149,15900,223.8339,225.1988,229.3063,14.99664,15.31278,15.22903,3403.803,3437.142,3495.828,3405.967,3439.351,3498.245,-121.3794,-123.2567,-129.9944,1,1,1,None,None,None,None,15.17949,45.53846,10336.77,10343.56,-374.6306,1,None,49.98,9779.017,3.459,None,None,None,None,None,None,None,None,None,None,389.5377,392.9558,398.6012,393.8564,0.132822,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.476,1262.303,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13.159,15900,225.1802,226.8798,230.1393,15.13636,15.24254,15.2853,3370.046,3436.487,3513.274,3372.269,3438.713,3515.641,-122.4406,-121.8818,-130.2192,1,1,1,None,None,None,None,15.16424,45.49272,10371.04,10377.78,-373.8631,1,None,49.98,9779.017,3.459,None,None,None,None,None,None,None,None,None,None,389.5377,392.9558,398.6012,393.8564,0.132822,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.476,1262.303,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14.169,15900,226.4709,227.2407,229.5172,15.14943,15.25332,15.32592,3414.939,3455.389,3516.696,3417.146,3457.62,3519.044,-122.7802,-124.1607,-130.2192,1,1,1,None,None,None,None,15.16424,45.49272,10371.04,10377.78,-373.8631,1,None,49.98,9779.021,3.459,None,None,None,None,None,None,None,None,None,None,392.2476,393.5809,398.9005,394.9097,0.192601,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.481,1262.303,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15.180,15900,226.4709,227.2407,229.5172,15.14943,15.25332,15.32592,3414.939,3455.389,3516.696,3417.146,3457.62,3519.044,-122.7802,-124.1607,-128.5482,1,1,1,None,None,None,None,15.24289,45.72868,10387.03,10393.81,-375.4891,1,None,49.98,9779.025,3.459,None,None,None,None,None,None,None,None,None,None,390.4917,390.9703,397.6555,392.3834,0.076504,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.485,1262.303,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16.190,15900,224.3212,225.7334,229.5932,15.19991,15.25232,15.2877,3404.364,3437.929,3506.478,3406.522,3440.129,3508.848,-119.1281,-123.3028,-128.6128,1,1,1,None,None,None,None,15.25402,45.76205,10345.28,10351.93,-371.0437,1,None,50,9779.025,3.459,None,None,None,None,None,None,None,None,None,None,390.4917,390.9703,397.6555,392.3834,0.076504,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9782.485,1262.303,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
