Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.023,17.000,225.4299927,226.2200012,225.7999878,15.85999966,15.92000008,15.90999985,3574,3598,3589,3577.577393,3605.210449,3592.592285,159.9499969,227.8990936,160.6175537,0.999000072,0.998000026,0.999000072,0.044723466,0.063256636,0.044723466,225.8166504,15.89666653,47.68999863,10762,10775.38086,548.4666748,0.999000072,0.152703568,None,1112.849976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.055380654,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1112.849976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.030,17.000,225.4299927,226.2200012,225.5899963,15.85999966,15.92000008,15.90999985,3574,3598,3586,3577.577393,3605.210449,3589.589355,159.9499969,227.8990936,160.4867554,0.999000072,0.998000026,0.999000072,0.044723466,0.063256636,0.044723466,225.7466583,15.89666653,47.68999863,10759,10772.37695,548.3358154,0.999000072,0.152703568,None,1112.849976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.055380654,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1112.849976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.037,17.000,225.2999878,226.2200012,225.5899963,15.85999966,15.92000008,15.90999985,3574,3598,3586,3577.577393,3605.210449,3589.589355,159.9499969,227.8990936,160.4867554,0.999000072,0.998000026,0.999000072,0.044723466,0.063256636,0.044723466,225.7033234,15.89666653,47.68999863,10758,10772.37695,548.3358154,0.999000072,0.152703568,None,1112.859985,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.055380654,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1112.859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.055,17.000,225.2999878,226.1199951,225.5899963,15.85999966,15.92000008,15.90999985,3574,3598,3586,3577.577393,3605.210449,3589.589355,159.9499969,227.8990936,160.4867554,0.999000072,0.998000026,0.999000072,0.044723466,0.063256636,0.044723466,225.6699982,15.89666653,47.68999863,10756,10772.37695,548.3358154,0.999000072,0.152703568,None,1112.859985,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.055380654,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1112.859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.071,17.000,225.2999878,226.1199951,225.5099945,15.85999966,15.92000008,15.89999962,3574,3596,3586,3577.577393,3603.206299,3589.589355,159.9499969,227.7718201,160.4867554,0.999000072,0.998000026,0.999000072,0.044723466,0.06325569,0.044723466,225.6433258,15.89666653,47.68999863,10756,10770.37305,548.2085571,0.999000072,0.15270263,None,1112.859985,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.055380654,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1112.859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.093,17.000,225.2999878,226.1199951,225.5099945,15.85999966,15.92000008,15.89999962,3574,3596,3586,3577.577393,3603.206299,3589.589355,159.9499969,227.7718201,160.4867554,0.999000072,0.998000026,0.999000072,0.044723466,0.06325569,0.044723466,225.6433258,15.89333344,47.68000031,10756,10770.37305,548.2085571,0.999000072,0.15270263,None,1112.869995,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.052553218,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1112.869995,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.128,17.000,225.4400024,226.1199951,225.5099945,15.84999943,15.92000008,15.89999962,3572,3596,3586,3575.575195,3603.206299,3589.589355,159.8561859,227.7718201,160.4867554,0.999000072,0.998000026,0.999000072,0.044722132,0.06325569,0.044723466,225.6900024,15.88999939,47.66999817,10755,10768.37109,548.1147461,0.999000072,0.152701288,None,1112.869995,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.062743664,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1112.869995,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.151,17.000,225.4400024,226.3199921,225.5099945,15.84999943,15.88000011,15.89999962,3572,3596,3586,3575.575195,3596,3589.589355,159.8561859,0,160.4867554,0.999000072,1,0.999000072,0.044722132,0,0.044723466,225.7566681,15.87666607,47.62999725,10754,10761.16406,320.3429565,0.999000072,0.089445598,None,1112.869995,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0440212,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1112.869995,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.178,17.000,225.4400024,226.3199921,225.7599945,15.84999943,15.88000011,15.89999962,3572,3596,3586,3575.575195,3596,3589.589355,159.8561859,0,160.4867554,0.999000072,1,0.999000072,0.044722132,0,0.044723466,225.8400116,15.87666607,47.62999725,10757,10761.16406,320.3429565,0.999000072,0.089445598,None,1112.869995,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0440212,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1112.869995,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.212,17.000,225.4799957,226.3199921,225.7599945,15.84999943,15.88000011,15.89999962,3572,3596,3589,3575.575195,3596,3592.592285,159.8561859,0,160.6175537,0.999000072,1,0.999000072,0.044722132,0,0.044723466,225.8533325,15.87666607,47.62999725,10757,10764.16797,320.4737549,0.999000072,0.089445598,None,1112.880005,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0440212,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1112.880005,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
