Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.055,17.000,227.0117798,226.8463593,222.7985382,15.55821991,15.76227951,15.9172945,3533.347168,3573.291504,3538.998291,3533.368896,3573.369385,3547.068359,-12.39914608,23.61091995,239.134552,1,1,0.997724891,None,None,None,225.5496063,15.74120331,47.22360992,10642.72461,10648.58008,250.3463287,1,None,49.97000122,590.3759766,0.122000001,None,None,None,None,None,None,None,None,None,None,393.1708069,392.8978882,385.8870544,390.6519165,0.317673296,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,590.4959717,78.69300079,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.073,17.000,226.8780823,226.771347,223.4464569,15.56493759,15.75869751,15.92459011,3529.740234,3573.792236,3539.191895,3529.761475,3573.868164,3547.276855,-12.24025154,23.27276802,239.3628845,1,1,0.997720778,None,None,None,225.6986237,15.74593067,47.23779297,10647.97461,10645.66992,250.395401,1,None,49.95000076,590.3800049,0.122000001,None,None,None,None,None,None,None,None,None,None,393.1708069,392.8978882,385.8870544,390.6519165,0.311932683,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,590.4990234,78.69300079,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.099,17.000,227.0411835,226.7963867,222.8733368,15.56544113,15.75952816,15.92717075,3533.448975,3573.927002,3540.598633,3533.474121,3574.002197,3548.627197,-13.33582592,23.22085953,238.5702362,1,1,0.997737586,None,None,None,225.5703125,15.74940872,47.24822617,10648.88281,10645.66992,250.395401,1,None,49.95000076,590.3800049,0.122000001,None,None,None,None,None,None,None,None,None,None,393.235321,392.8113403,386.0166321,390.6877747,0.311780125,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,590.5029907,78.69300079,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.121,17.000,227.1793213,226.8578644,222.8073425,15.56246662,15.76132965,15.93307495,3534.704346,3573.765625,3540.412598,3534.727783,3573.835938,3548.43457,-12.79454803,22.45058632,238.4657593,1,1,0.997737586,None,None,None,225.5703125,15.74940872,47.24822617,10647.875,10650.87305,248.1217957,1,None,50,590.3829956,0.122000001,None,None,None,None,None,None,None,None,None,None,393.4745789,392.9178162,385.9023132,390.7648926,0.313545942,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,590.5059814,78.69300079,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.144,17.000,227.0458221,226.8811493,222.6569672,15.56930542,15.77002144,15.93782997,3533.226563,3575.098145,3539.549805,3533.248535,3575.171143,3547.537109,-12.79454803,22.45058632,238.4657593,1,1,0.997739315,None,None,None,225.5279694,15.75228977,47.25687027,10654.6123,10650.76855,248.275528,1,None,50,590.3870239,0.122000001,None,None,None,None,None,None,None,None,None,None,393.2433777,392.9581604,385.6418762,390.6144409,0.321242511,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,590.5100098,78.69300079,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.163,17.000,227.1256256,226.8935089,222.7463379,15.5666914,15.7624073,15.93494129,3536.135498,3575.098145,3539.549805,3533.248535,3575.171143,3547.537109,-12.46691036,22.81778145,237.9024506,1,1,0.997751534,None,None,None,225.588501,15.75905228,47.27715683,10654.41113,10657.48633,247.5212708,1,None,49.95000076,590.3900146,0.122000001,None,None,None,None,None,None,None,None,None,None,393.3815918,392.9795532,385.7966614,390.7192688,0.319575489,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,590.5130005,78.69300079,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.186,17.000,227.1256256,226.8935089,222.7463379,15.56699085,15.77616882,15.92956734,3536.135498,3576.870117,3541.606445,3537.509277,3576.654053,3548.351807,-13.05442142,22.59746361,238.2616272,1,1,0.99774307,None,None,None,225.6429443,15.75467968,47.26403809,10648.69141,10657.29297,247.8046722,1,None,50,590.3939819,0.122000001,None,None,None,None,None,None,None,None,None,None,393.6109619,393.1175537,385.7121582,390.8135681,0.319124728,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,590.5159912,78.69300079,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.206,17.000,227.2580566,226.9731903,222.6737671,15.56769466,15.76712513,15.934165,3534.87207,3575.447266,3538.37207,3534.897217,3575.520752,3546.389648,-13.29092789,22.91158295,238.3322296,1,1,0.997739255,None,None,None,225.4854279,15.75757599,47.27272797,10652.78125,10651.57813,247.9528809,1,None,49.95000076,590.3969727,0.122000001,None,None,None,None,None,None,None,None,None,None,393.3895874,392.5617065,385.6709595,390.8135681,0.319124728,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,590.5159912,78.69300079,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.229,17.000,227.2013702,226.9329224,222.7034607,15.56869507,15.76829243,15.93514061,3536.728271,3577.209229,3538.843994,3536.755127,3577.280518,3546.8125,-13.72755527,22.56692123,237.6168671,1,1,0.997753322,None,None,None,225.6125946,15.75632858,47.26898575,10656.75,10655.63184,246.4562378,1,None,50,590.3969727,0.122000001,None,None,None,None,None,None,None,None,None,None,393.3895874,392.5617065,385.6709595,390.5407715,0.315236598,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,590.5200195,78.69300079,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.254,17.000,227.2330475,227.0166016,222.8363037,15.5796442,15.7679987,15.93227005,3537.482178,3578.116455,3540.231445,3537.509521,3578.185547,3548.213379,-13.96189117,22.24913025,237.8642273,1,1,0.997752488,None,None,None,225.6298828,15.75737476,47.27212524,10659.73633,10659.59863,246.417511,1,None,50,590.4039917,0.122000001,None,None,None,None,None,None,None,None,None,None,393.567627,393.192749,385.9524841,390.9042664,0.311884403,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,590.5269775,78.69400024,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
