Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.033,32.000,220.1799927,239.6199951,237.269989,31.26999855,0.01,0.01,6851,-3,1,6892.354004,4.26742506,1.9960078,753.8859253,3.034949064,1.727439523,0.994000018,-0.703000009,0.501000047,0.109599195,2.350403309,1.046042442,232.3566437,10.42999935,31.28999901,6849,6898.617676,758.6483154,0.993000031,3.506044865,None,202.3399963,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.26000023,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,202.3399963,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.048,32.000,220.1799927,239.5899963,237.269989,31.26999855,0.01,0.01,6851,-3,1,6892.354004,4.405285835,1.9960078,753.8859253,3.225917578,1.727439523,0.994000018,-0.681000054,0.501000047,0.109599195,2.319923878,1.046042442,232.3466644,10.42999935,31.28999901,6849,6898.755371,758.8392334,0.993000031,3.475565434,None,202.3399963,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.26000023,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,202.3399963,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.059,32.000,220.1799927,239.5899963,237.2299957,31.26999855,0.01,0.01,6851,-3,1,6892.354004,4.405285835,1.9960078,753.8859253,3.225917578,1.727439523,0.994000018,-0.681000054,0.501000047,0.109599195,2.319923878,1.046042442,232.3333282,10.42999935,31.28999901,6849,6898.755371,758.8392334,0.993000031,3.475565434,None,202.3499908,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.26000023,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,202.3499908,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.071,32.000,220.269989,239.5899963,237.2299957,31.30999947,0.01,0.01,6851,-3,1,6892.354004,4.405285835,2.123142242,753.8859253,3.225917578,1.872894287,0.994000018,-0.681000054,0.471000016,0.109599195,2.319923878,1.080372214,232.363327,10.42999935,31.28999901,6860,6898.882324,758.9847412,0.993000031,3.509895325,None,202.3499908,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.26000023,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,202.3499908,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.084,32.000,220.269989,239.6499939,237.2299957,31.30999947,0.01,0.01,6861,-3,1,6902.414551,4.405285835,2.123142242,754.9887695,3.225917578,1.872894287,0.994000018,-0.681000054,0.471000016,0.109599195,2.319923878,1.080372214,232.383316,10.44333363,31.32999992,6860,6908.942871,760.0875244,0.993000031,3.509895325,None,202.3499908,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.29999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,202.3499908,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.099,32.000,220.269989,239.6499939,237.2299957,31.30999947,0.01,0.01,6861,-3,1,6902.414551,4.26742506,2.123142242,754.9887695,3.034949064,1.872894287,0.994000018,-0.703000009,0.471000016,0.109599195,2.350403309,1.080372214,232.383316,10.44333363,31.32999992,6860,6908.805176,759.8966064,0.993000031,3.540374756,None,202.3499908,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.29999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,202.3499908,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.108,32.000,220.269989,239.6499939,237.2599945,31.30999947,0.01,0.01,6861,-3,2,6902.414551,4.26742506,4.032258034,754.9887695,3.034949064,3.501300573,0.994000018,-0.703000009,0.496000022,0.109599195,2.350403309,1.051810265,232.3933258,10.44333363,31.32999992,6860,6910.714355,761.5250244,0.993000031,3.511812687,None,202.3499908,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.29999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,202.3499908,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.118,32.000,220.5,239.6499939,237.2599945,31.30999947,0.01,0.01,6861,-3,2,6902.414551,4.26742506,4.032258034,754.9887695,3.034949064,3.501300573,0.994000018,-0.703000009,0.496000022,0.109599195,2.350403309,1.051810265,232.469986,10.44333363,31.32999992,6872,6910.714355,761.5250244,0.993000031,3.511812687,None,202.3499908,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.29999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,202.3499908,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.129,32.000,220.5,239.5499878,237.2599945,31.30999947,0.01,0.01,6873,-3,2,6907.537109,4.26742506,4.032258034,689.8840332,3.034949064,3.501300573,0.995000064,-0.703000009,0.496000022,0.100041069,2.350403309,1.051810265,232.4366608,10.44333363,31.32999992,6872,6915.836914,696.4202881,0.994000018,3.502254725,None,202.3600006,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.29999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,202.3600006,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.139,32.000,220.5,239.5499878,237.2599945,31.30999947,0.01,0.01,6873,-3,2,6907.537109,4.405285835,4.032258034,689.8840332,3.225917578,3.501300573,0.995000064,-0.681000054,0.496000022,0.100041069,2.319923878,1.051810265,232.4366608,10.44333363,31.32999992,6872,6915.974609,696.6112061,0.994000018,3.471775293,None,202.3600006,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.29999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,202.3600006,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
