Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.032,19.000,232.1899872,233.9899902,233.0800018,15.67000008,15.46999931,15.48999977,3627,3608,3600,3641.566162,3622.489746,3610.832275,325.3843994,323.6788635,279.4816589,0.996000051,0.996000051,0.997000039,0.089471981,0.089471981,0.077478543,233.0866699,15.5433321,46.62999725,10836,10874.8877,928.5449219,0.996000051,0.25642252,None,195.3000031,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.190807417,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195.3000031,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.042,19.000,232.3999939,233.9899902,233.0800018,15.64999962,15.46999931,15.48999977,3625,3608,3600,3639.558105,3622.489746,3610.832275,325.2045593,323.6788635,279.4816589,0.996000051,0.996000051,0.997000039,0.089471981,0.089471981,0.077478543,233.156662,15.53666687,46.61000061,10834,10872.87988,928.3651123,0.996000051,0.25642252,None,195.3000031,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.170984909,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195.3000031,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.052,19.000,232.3999939,234.0499878,233.0800018,15.64999962,15.46000004,15.48999977,3625,3609,3600,3639.558105,3623.493896,3610.832275,325.2045593,323.769989,279.4816589,0.996000051,0.996000051,0.997000039,0.089471981,0.089471981,0.077478543,233.176651,15.53333282,46.59999847,10835,10873.88379,928.4561768,0.996000051,0.25642252,None,195.3000031,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.176862985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195.3000031,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.062,19.000,232.3999939,234.0499878,232.9099884,15.64999962,15.46000004,15.47999954,3625,3609,3600,3639.558105,3623.493896,3610.832275,325.2045593,323.769989,279.4816589,0.996000051,0.996000051,0.997000039,0.089471981,0.089471981,0.077478543,233.1199951,15.52999973,46.59000015,10832,10873.88379,928.4561768,0.996000051,0.25642252,None,195.3099976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.18078807,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195.3099976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.072,19.000,232.4299927,234.0499878,232.9099884,15.65999985,15.46000004,15.47999954,3625,3609,3597,3639.558105,3623.493896,3607.823242,325.2045593,323.769989,279.2489929,0.996000051,0.996000051,0.997000039,0.089471981,0.089471981,0.077478543,233.1299896,15.52999973,46.59000015,10832,10870.875,928.2235107,0.997000039,0.25642252,None,195.3099976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.18078807,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195.3099976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.085,19.000,232.4299927,234.0499878,232.9099884,15.65999985,15.46000004,15.47999954,3628,3609,3597,3642.570068,3623.493896,3607.823242,325.4735107,323.769989,279.2489929,0.996000051,0.996000051,0.997000039,0.089471981,0.089471981,0.077478543,233.1299896,15.53333282,46.59999847,10834,10873.88672,928.4925537,0.997000039,0.25642252,None,195.3099976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.190767422,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195.3099976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.099,19.000,232.4299927,233.9099884,232.9099884,15.65999985,15.48999977,15.47999954,3628,3611,3597,3642.570068,3625.501709,3607.823242,325.4735107,323.9475403,279.2489929,0.996000051,0.996000051,0.997000039,0.089471981,0.089471318,0.077478543,233.083313,15.5433321,46.62999725,10837,10875.89453,928.6700439,0.996000051,0.256421864,None,195.3199921,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.17525965,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195.3199921,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.109,19.000,232.4299927,233.9099884,232.6899872,15.65999985,15.48999977,15.50999928,3628,3611,3601,3642.570068,3625.501709,3611.835449,325.4735107,323.9475403,279.5603638,0.996000051,0.996000051,0.997000039,0.089471981,0.089471318,0.077478543,233.0099945,15.55333328,46.65999985,10841,10879.90723,928.9813843,0.997000039,0.256421864,None,195.3199921,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.161011443,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195.3199921,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.126,19.000,232.269989,233.9099884,232.6899872,15.64999962,15.48999977,15.50999928,3628,3611,3601,3642.570068,3625.501709,3611.835449,325.4735107,323.9475403,279.5603638,0.996000051,0.996000051,0.997000039,0.089471981,0.089471318,0.077478543,232.956665,15.54999924,46.64999771,10840,10879.90723,928.9813843,0.997000039,0.256421864,None,195.3199921,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.151086554,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195.3199921,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.140,19.000,232.269989,233.5800018,232.6899872,15.64999962,15.48999977,15.50999928,3626,3611,3601,3636.910645,3625.501709,3611.835449,281.5013428,323.9475403,279.5603638,0.997000039,0.996000051,0.997000039,0.077478543,0.089471318,0.077478543,232.8466644,15.54999924,46.64999771,10840,10874.24805,885.0092163,0.997000039,0.244428411,None,195.3300018,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.151086554,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195.3300018,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
