Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.025,32.000,218.3999939,234.7099915,234.6199951,30.26000023,0.01,0.01,6601,-2,1,6614.228516,2.607561827,1.824817419,418.1148071,1.673134446,1.526420236,0.998000026,-0.76700002,0.548000038,0.063256636,2.444948912,0.990824878,229.2433319,10.09333324,30.28000069,6600,6618.660645,421.3143616,0.997000039,3.49903059,None,19.93000031,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.93000031,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.034,32.000,218.3999939,234.7099915,234.3499908,30.26000023,0.01,0.01,6601,-2,1,6614.228516,2.607561827,1.824817419,418.1148071,1.673134446,1.526420236,0.998000026,-0.76700002,0.548000038,0.063256636,2.444948912,0.990824878,229.1533203,10.09333324,30.28000069,6600,6618.660645,421.3143616,0.997000039,3.49903059,None,19.93000031,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.93000031,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.043,32.000,218.3399963,234.7099915,234.3499908,30.20999908,0.01,0.01,6601,-2,1,6614.228516,2.607561827,1.78890872,418.1148071,1.673134446,1.483305216,0.998000026,-0.76700002,0.559000015,0.063256636,2.444948912,0.977617025,229.133316,10.09333324,30.28000069,6599,6618.625,421.2712402,0.997000039,3.485822678,None,19.93000031,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.93000031,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.055,32.000,218.3399963,234.7099915,234.3499908,30.20999908,0.01,0.01,6600,-2,1,6600,2.607561827,1.78890872,0,1.673134446,1.483305216,1,-0.76700002,0.559000015,0,2.444948912,0.977617025,229.133316,10.07666683,30.22999954,6599,6604.396484,3.156439781,0.999000072,3.422565937,None,19.93000031,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.19999886,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.93000031,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.068,32.000,218.3399963,234.6699982,234.3499908,30.20999908,0.01,0.01,6600,-2,1,6600,2.710026979,1.78890872,0,1.82872808,1.483305216,1,-0.738000035,0.559000015,0,2.40089798,0.977617025,229.1199951,10.07666683,30.22999954,6599,6604.499023,3.312033176,0.999000072,3.378515005,None,19.93999863,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.19999886,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.93999863,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.080,32.000,218.3399963,234.6699982,234.3199921,30.20999908,0.01,0.01,6600,-2,1,6600,2.710026979,1.78890872,0,1.82872808,1.483305216,1,-0.738000035,0.559000015,0,2.40089798,0.977617025,229.1100006,10.07666683,30.22999954,6599,6604.499023,3.312033176,0.999000072,3.378515005,None,19.93999863,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.19999886,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.93999863,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.094,32.000,218.2200012,234.6699982,234.3199921,30.31999969,0.01,0.01,6600,-2,1,6600,2.710026979,1.78890872,0,1.82872808,1.483305216,1,-0.738000035,0.559000015,0,2.40089798,0.977617025,229.0700073,10.07666683,30.22999954,6607,6604.499023,3.312033176,0.999000072,3.378515005,None,19.93999863,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.19999886,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.93999863,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.105,32.000,218.2200012,234.6999969,234.3199921,30.31999969,0.01,0.01,6608,-2,1,6621.242188,2.710026979,1.78890872,418.5498657,1.82872808,1.483305216,0.998000026,-0.738000035,0.559000015,0.06325569,2.40089798,0.977617025,229.0800018,10.1133337,30.34000015,6607,6625.741211,421.861908,0.997000039,3.441770792,None,19.93999863,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.30999947,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.93999863,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.115,32.000,218.2200012,234.6999969,234.3199921,30.31999969,0.01,0.01,6608,-2,1,6621.242188,2.710026979,1.78890872,418.5498657,1.82872808,1.483305216,0.998000026,-0.738000035,0.559000015,0.06325569,2.40089798,0.977617025,229.0800018,10.1133337,30.34000015,6607,6625.741211,421.861908,0.997000039,3.441770792,None,19.93999863,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.30999947,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.93999863,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.129,32.000,218.2200012,234.6999969,234.3399963,30.28999901,0.01,0.01,6608,-2,1,6621.242188,2.710026979,1.78890872,418.5498657,1.82872808,1.483305216,0.998000026,-0.738000035,0.559000015,0.06325569,2.40089798,0.977617025,229.0866699,10.1133337,30.34000015,6607,6625.741211,421.861908,0.997000039,3.441770792,None,19.93999863,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.30999947,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.93999863,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
