Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.018,32000,214.2007,233.3549,234.1951,30.72936,0.072995,0.079231,6553.817,-13.83771,16.123,6554.322,16.27587,17.89549,-81.326,8.568644,7.765156,1,-0.850198,0.900953,None,None,None,None,10.29386,30.88158,6556.103,6556.425,-64.61884,1,None,50.02,10399.39,3.763,None,None,None,None,None,None,None,None,None,None,367.9493,403.9955,404.8585,392.2678,30.60497,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10403.15,1384.685,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.027,32000,214.4798,233.6017,234.2159,30.63212,0.072382,0.079015,6568.344,-13.75743,16.09746,6568.841,16.17318,17.7871,-83.00775,8.687147,7.765156,1,-0.850198,0.900953,None,None,None,None,10.29386,30.88158,6556.103,6556.425,-64.61884,1,None,49.97,10399.39,3.763,None,None,None,None,None,None,None,None,None,None,371.479,404.5981,405.662,393.913,30.55642,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10403.16,1384.686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.036,32000,214.4759,233.3786,233.7941,30.58361,0.072382,0.079015,6568.344,-13.75743,16.09746,6568.841,16.17318,17.7871,-83.00775,8.687147,7.722595,1,-0.848065,0.900832,None,None,None,None,10.32158,30.96475,6598.282,6598.618,-66.59801,1,None,49.97,10399.39,3.763,None,None,None,None,None,None,None,None,None,None,371.4723,405.4426,406.5858,394.5002,30.73747,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10403.16,1384.686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.044,32000,214.4759,233.3786,233.7941,30.58361,0.072707,0.078326,6529.904,-13.90281,16.11382,6530.385,16.37219,17.90611,-79.1926,8.646421,7.808551,1,-0.849172,0.899906,None,None,None,None,10.24488,30.73464,6532.115,6532.417,-62.73763,1,None,49.97,10399.4,3.763,None,None,None,None,None,None,None,None,None,None,374.0563,404.774,407.4435,394.5002,30.73747,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10403.16,1384.686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.053,32000,215.9678,233.7032,235.2445,30.4758,0.07258,0.079609,6572.839,-13.90281,16.17707,6573.346,16.1749,17.92064,-81.21284,8.580828,7.873645,1,-0.849172,0.899906,None,None,None,None,10.24488,30.73464,6532.115,6532.417,-62.73763,1,None,49.97,10399.4,3.763,None,None,None,None,None,None,None,None,None,None,374.0563,404.774,407.4435,395.4246,30.39971,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10403.16,1384.686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.062,32000,214.3261,233.3249,234.153,30.74259,0.072258,0.079609,6572.839,-13.90281,16.17707,6573.346,16.1749,17.92064,-81.21284,8.580828,7.873645,1,-0.847683,0.89831,None,None,None,None,10.27437,30.82311,6565.007,6565.326,-64.75837,1,None,50.02,10399.4,3.763,None,None,None,None,None,None,None,None,None,None,369.7335,402.9184,404.4058,392.3525,30.59584,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10403.16,1384.686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.070,32000,214.3261,233.3249,234.153,30.74259,0.072258,0.079491,6551.102,-13.7132,16.16656,6551.595,16.28526,17.91723,-80.33759,8.783953,7.724597,1,-0.842062,0.902291,None,None,None,None,10.29811,30.89434,6553.555,6553.866,-63.82904,1,None,50.02,10399.4,3.763,None,None,None,None,None,None,None,None,None,None,371.0192,403.793,405.2629,393.3583,30.59584,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10403.16,1384.686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.079,32000,214.2143,233.1369,233.9855,30.66538,0.072843,0.078952,6580.713,-13.82853,16.11482,6581.221,16.33248,17.86623,-81.75061,8.520908,7.678698,1,-0.850734,0.902381,None,None,None,None,10.27156,30.81468,6559.706,6553.866,-63.82904,1,None,50.02,10399.4,3.763,None,None,None,None,None,None,None,None,None,None,371.0192,403.793,405.2629,393.3583,30.58949,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10403.17,1384.686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.087,32000,214.7949,232.4575,234.0424,30.70627,0.072073,0.077918,6580.713,-13.82853,16.11482,6581.221,16.33248,17.86623,-81.75061,8.520908,7.678698,1,-0.850734,0.902381,None,None,None,None,10.27156,30.81468,6559.706,6560.021,-64.37965,1,None,50.02,10399.41,3.763,None,None,None,None,None,None,None,None,None,None,371.6231,404.6907,405.2444,393.8528,30.58775,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10403.17,1384.686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.096,32000,214.7949,232.4575,234.0424,30.70627,0.072073,0.077918,6518.242,-13.82837,15.92421,6518.705,16.31948,17.74803,-77.70313,8.666117,7.836592,1,-0.847354,0.897238,None,None,None,None,10.28542,30.85626,6520.338,6520.625,-61.20042,1,None,50.02,10399.41,3.763,None,None,None,None,None,None,None,None,None,None,371.738,404.6537,404.8793,393.757,30.47772,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10403.17,1384.686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
