Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.069,18.000,233.381958,231.7498474,232.4086151,16.18560219,16.17128372,16.13130379,3768.030029,3747.848877,3735.479248,3768.328369,3747.907471,3735.550293,47.43464661,20.9666214,23.09467888,1,1,1,None,None,None,232.5134735,16.14728165,48.44184494,11267.86426,11251.72949,91.49594879,1,None,49.97999954,3545.784912,3.992000103,None,None,None,None,None,None,None,None,None,None,404.1060791,401.4475098,402.507782,402.6871033,0.048742171,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3549.778076,154.2140045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.088,18.000,233.3175964,231.7826233,232.3947906,16.17500877,16.16384506,16.14441681,3774.000244,3746.772705,3747.091553,3774.296387,3746.832031,3747.162354,47.29093933,21.07811546,23.07648659,1,1,1,None,None,None,232.4983368,16.16272926,48.4881897,11261.42969,11268.23633,91.44554138,1,None,49.97999954,3545.789063,3.992000103,None,None,None,None,None,None,None,None,None,None,404.1129456,401.2920837,402.507782,402.6871033,0.048742171,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3549.778076,154.2140045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.112,18.000,233.3215637,231.6928864,232.3786163,16.06467438,16.1543026,16.13038254,3770.445068,3742.9646,3748.019531,3770.748291,3743.0271,3748.093018,47.81319046,21.59552574,23.48223495,1,1,1,None,None,None,232.4851532,16.11645317,48.34936142,11238.96973,11239.34863,92.27523041,1,None,49.97999954,3545.789063,3.992000103,None,None,None,None,None,None,None,None,None,None,404.1129456,401.2920837,402.4797668,402.6282654,0.026813745,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3549.781982,154.2140045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.130,18.000,233.3555298,231.7158508,232.3840332,16.0292244,16.12869453,16.08325768,3746.915527,3741.595947,3750.457764,3747.218262,3741.658447,3750.528076,47.64077759,21.62556839,22.78223038,1,1,1,None,None,None,232.6485748,16.08039284,48.34936142,11220.33105,11239.34863,92.27523041,1,None,49.93000031,3545.792969,3.992000103,None,None,None,None,None,None,None,None,None,None,404.1717834,401.3318481,402.4891357,402.6642761,0.080382377,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3549.784912,154.2140045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.152,18.000,233.4983673,231.8428345,232.604538,16.08899307,16.17527771,16.07312775,3740.697754,3737.180664,3742.452637,3741.010986,3751.709473,3740.399414,48.16152573,21.58834839,23.56552124,1,1,1,None,None,None,232.6485748,16.08039284,48.24118042,11248.88184,11220.71582,92.94252014,1,None,49.93000031,3545.795898,3.992000103,None,None,None,None,None,None,None,None,None,None,404.4191589,401.5517883,402.8710632,402.9473267,0.086250834,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3549.789063,154.2149963,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.169,18.000,233.7669067,232.0872955,232.901825,16.10379982,16.1339817,16.06266212,3760.425293,3744.234375,3737.411377,3760.735596,3744.297607,3740.399414,48.16152573,21.58834839,23.56552124,1,1,1,None,None,None,232.9186554,16.11246681,48.33739853,11242.07129,11249.26855,93.31539917,1,None,49.93000031,3545.800049,3.992000103,None,None,None,None,None,None,None,None,None,None,404.8842773,401.9751892,403.3859558,403.4151306,0.095213868,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3549.792969,154.2149963,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.199,18.000,233.4623108,231.8712463,232.733902,16.14774323,16.17573547,16.11779785,3760.425293,3744.234375,3737.411377,3760.735596,3744.297607,3737.490723,48.31040573,21.76927376,24.3514843,1,1,1,None,None,None,232.900528,16.10014915,48.30044556,11259.52344,11242.46875,94.4311676,1,None,49.97999954,3545.803955,3.992000103,None,None,None,None,None,None,None,None,None,None,404.759613,402.0545349,403.3370361,403.383728,0.06200701,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3549.795898,154.2149963,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.219,18.000,233.4623108,231.8712463,232.733902,16.11147499,16.19063759,16.12095261,3767.491211,3747.269531,3744.762451,3767.794678,3747.334473,3744.837646,47.84373474,22.06035995,23.68168831,1,1,1,None,None,None,232.6891479,16.14709282,48.44127655,11258.17188,11259.91309,93.58578491,1,None,49.93000031,3545.806885,3.992000103,None,None,None,None,None,None,None,None,None,None,404.35672,401.6010132,402.5991516,403.000946,0.074875593,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3549.800049,154.2149963,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.244,18.000,233.4143677,232.176651,232.4475555,16.15057755,16.14918137,16.13274574,3754.438477,3755.053955,3748.679932,3754.752197,3755.116943,3748.754883,48.55826187,21.76326561,23.71340179,1,1,1,None,None,None,232.6795197,16.14102173,48.42306519,11235.99316,11258.56445,94.03492737,1,None,49.95999908,3545.811035,3.992000103,None,None,None,None,None,None,None,None,None,None,404.1205444,401.4943848,402.5991516,403.000946,0.074875593,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3549.800049,154.2149963,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.276,18.000,233.3259583,231.8096924,232.641037,16.12773514,16.18985176,16.16964912,3756.915283,3742.131104,3736.946533,3757.228027,3742.192383,3737.019775,48.48665619,21.45482254,23.40996552,1,1,1,None,None,None,232.5922241,16.14416695,48.48723602,11268.83691,11269.21289,92.11183167,1,None,49.95999908,3545.811035,3.992000103,None,None,None,None,None,None,None,None,None,None,404.1205444,401.4943848,402.9342651,402.8497314,0.01717579,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3549.803955,154.2149963,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
