Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.080,17.000,229.4274445,0,0,15.88435936,0,0,3638.662842,0,0,3643.771729,0,0,-192.8877716,0,0,0.99859792,0,0,None,None,None,76.47581482,5.294786453,15.88435936,3638.446533,3643.572021,-193.1957245,0.998593271,None,49.95000076,4030.799072,3.992000103,None,None,None,None,None,None,None,None,None,None,0,0,0,0,15.88113308,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4034.790039,174.0859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.113,17.000,229.4273376,0,0,15.87997723,0,0,3638.446533,0,0,3643.572021,0,0,-193.1957245,0,0,0.99857372,0,0,None,None,None,76.49308777,5.293325901,15.87997723,3637.875732,3643.071777,-194.5029297,0.99857372,None,49.93000031,4030.799072,3.992000103,None,None,None,None,None,None,None,None,None,None,0,0,0,0,15.88436031,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4034.791992,174.0859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.137,17.000,229.4792633,0,0,15.88308811,0,0,3637.875732,0,0,3643.071777,0,0,-194.2256927,0,0,0.99857837,0,0,None,None,None,76.48740387,5.294362545,15.87997723,3638.668213,3643.071777,-194.5029297,0.99857372,None,49.93000031,4030.801025,3.992000103,None,None,None,None,None,None,None,None,None,None,0,0,0,0,15.87997723,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4034.792969,174.0859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.155,17.000,229.4622192,0,0,15.88184834,0,0,3638.915039,0,0,3644.09082,0,0,-194.1470795,0,0,0.998579681,0,0,None,None,None,76.48740387,5.294362545,15.88308811,3638.915039,3643.848389,-194.2256927,0.99857837,None,49.95000076,4030.802002,3.992000103,None,None,None,None,None,None,None,None,None,None,0,0,0,0,15.88308907,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4034.793945,174.0859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.174,17.000,229.282196,0,0,15.89461422,0,0,3638.682861,0,0,3643.817139,0,0,-194.1470795,0,0,0.998579681,0,0,None,None,None,76.48108673,5.293949604,15.88184834,3638.682861,3644.09082,-194.1470795,0.998579681,None,49.95000076,4030.802979,3.992000103,None,None,None,None,None,None,None,None,None,None,0,0,0,0,15.88184929,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4034.794922,174.0859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.197,17.000,229.6417847,0,0,15.87170696,0,0,3638.682861,0,0,3643.817139,0,0,-193.3691406,0,0,0.998590946,0,0,None,None,None,76.42739868,5.298204899,15.89461422,3638.52124,3643.817139,-193.3691406,0.998590946,None,49.95000076,4030.803955,3.992000103,None,None,None,None,None,None,None,None,None,None,0,0,0,0,15.87170696,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4034.795898,174.0859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.225,17.000,229.6417847,0,0,15.87013245,0,0,3638.52124,0,0,3643.718262,0,0,-194.5359802,0,0,0.99857372,0,0,None,None,None,76.5472641,5.290568829,15.87170696,3638.55957,3643.718262,-194.5359802,0.99857372,None,49.95000076,4030.804932,3.992000103,None,None,None,None,None,None,None,None,None,None,0,0,0,0,15.87013149,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4034.797119,174.0859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.253,17.000,229.6321259,0,0,15.8651886,0,0,3638.55957,0,0,3643.768066,0,0,-194.7512817,0,0,0.998570561,0,0,None,None,None,76.54404449,5.290044308,15.8651886,3638.9021,3644.111084,-194.776825,0.998570561,None,49.95000076,4030.805908,3.992000103,None,None,None,None,None,None,None,None,None,None,0,0,0,0,15.87013149,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4034.797119,174.0859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.292,17.000,229.69133,0,0,15.86430454,0,0,3638.9021,0,0,3644.111084,0,0,-194.776825,0,0,0.998570561,0,0,None,None,None,76.56624603,5.288101673,15.86430454,3639.050293,3644.260254,-194.7960205,0.998570383,None,49.95000076,4030.805908,3.992000103,None,None,None,None,None,None,None,None,None,None,0,0,0,0,15.86518955,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4034.799072,174.0859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.321,17.000,229.6987457,0,0,15.86113453,0,0,3639.050293,0,0,3644.260254,0,0,-195.2087708,0,0,0.998563528,0,0,None,None,None,76.57730865,5.287045002,15.86430454,3638.04126,3644.260254,-194.7960205,0.998570383,None,49.95000076,4030.808105,3.992000103,None,None,None,None,None,None,None,None,None,None,0,0,0,0,15.86430454,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4034.800049,174.0859985,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
