Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.052,32.000,219.4651642,231.5740204,232.4251404,32.01699448,0.088597178,0.096965723,7015.738281,-15.92871761,18.89731598,7017.902832,18.79533386,20.81156349,-174.3003998,9.977000237,8.718524933,1,-0.847482562,0.90802002,None,None,None,None,10.73418522,32.20255661,7018.707031,7020.432129,-157.1294098,1,None,49.99000168,743.3800049,1.605000019,None,None,None,None,None,None,None,None,None,None,379.9743652,401.1148071,402.644043,394.5777283,31.9415493,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,744.9829712,36.61100006,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.074,32.000,219.0435028,231.2829895,232.1552887,32.06352234,0.088961333,0.096729696,7011.689453,-16.00048637,18.73591614,7013.895996,18.98239517,20.68890762,-165.3500519,10.13606167,8.718524933,1,-0.847482562,0.90802002,None,None,None,None,10.73418522,32.20255661,7018.707031,7020.432129,-157.1294098,1,None,49.99000168,743.3800049,1.605000019,None,None,None,None,None,None,None,None,None,None,379.3833618,400.5821228,402.0929565,394.0194702,31.97067833,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,744.9849854,36.61100006,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.092,32.000,219.3329926,231.507019,232.3088379,32.06352234,0.088961333,0.096729696,7011.689453,-16.00048637,18.73591614,7013.895996,18.98239517,20.68890762,-165.3500519,10.13606167,8.600522995,1,-0.842883408,0.909498572,None,None,None,None,10.75072384,32.25217056,7016.448242,7017.979492,-146.6134644,1,None,49.99000168,743.3829956,1.605000019,None,None,None,None,None,None,None,None,None,None,379.5583496,401.0787964,402.3772888,394.3381653,31.97029114,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,744.9879761,36.61199951,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.117,32.000,219.3329926,231.507019,232.3088379,32.03335571,0.089119032,0.097660065,7014.787598,-15.89516926,18.76345634,7017.085938,18.84872437,20.69981003,-179.5821686,10.13005352,8.741558075,1,-0.843302131,0.906455457,None,None,None,None,10.74004459,32.22013474,7017.65625,7019.496582,-160.710556,1,None,49.93999863,743.3850098,1.605000019,None,None,None,None,None,None,None,None,None,None,379.7766724,401.0787964,402.3772888,394.3381653,31.97029114,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,744.9879761,36.61199951,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.141,32.000,219.2705994,231.4342346,232.3792267,32.0382309,0.090521976,0.097058505,7014.966797,-15.92671394,18.7489357,7017.105957,18.86897659,20.67319679,-176.8034973,10.11519814,8.645253181,1,-0.843302131,0.906455457,None,None,None,None,10.74004459,32.22013474,7017.65625,7019.496582,-160.710556,1,None,49.93999863,743.3850098,1.605000019,None,None,None,None,None,None,None,None,None,None,379.7766724,400.8440857,402.480835,394.3671875,31.94444466,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,744.9910278,36.61199951,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.164,32.000,219.3300629,230.7257385,231.4068909,32.14273071,0.089376472,0.097058505,7014.966797,-15.92671394,18.7489357,7017.105957,18.86897659,20.67319679,-176.8034973,10.11519814,8.645253181,1,-0.843730807,0.90979284,None,None,None,None,10.74433804,32.23301315,7020.286621,7022.064941,-158.043045,1,None,49.97000122,743.3880005,1.605000019,None,None,None,None,None,None,None,None,None,None,379.8796692,400.6618347,401.7613525,394.1009216,31.95206451,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,744.9940186,36.61199951,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.184,32.000,219.3300629,230.7257385,231.4068909,32.14273071,0.089376472,0.097818777,6979.161133,-15.75446701,18.59371185,6981.446289,18.70480728,20.51479149,-178.6019135,10.08298588,8.667785645,1,-0.842268348,0.906356394,None,None,None,None,10.7766428,32.32992935,6982.000488,6983.830566,-159.8511353,1,None,49.93999863,743.3909912,1.605000019,None,None,None,None,None,None,None,None,None,None,378.7204285,399.8798218,401.4029541,394.1009216,31.95206451,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,744.9940186,36.61199951,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.210,32.000,218.6607513,230.8774872,231.756897,32.13730621,0.088761836,0.097340763,7015.039551,-15.92437744,18.72907448,6981.446289,18.70480728,20.51479149,-178.6019135,10.08298588,8.667785645,1,-0.842268348,0.906356394,None,None,None,None,10.7766428,32.32992935,6982.000488,6983.830566,-159.8511353,1,None,49.93999863,743.3909912,1.605000019,None,None,None,None,None,None,None,None,None,None,378.7204285,399.8798218,401.4029541,393.3344116,32.0442543,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,744.9970093,36.61199951,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.511,32.000,218.6607513,230.8774872,231.756897,32.13730621,0.088761836,0.097340763,7015.039551,-15.92437744,18.72907448,7019.068848,18.86563301,20.72765732,-171.9059601,9.954634666,8.680303574,1,-0.849455833,0.908088267,None,None,None,None,10.7651453,32.29543686,7019.760742,7021.433594,-153.2710266,1,None,49.99000168,743.3950195,1.605000019,None,None,None,None,None,None,None,None,None,None,378.9087524,400.2204285,401.6519775,393.5937195,32.01708603,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,745,36.61199951,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.536,32.000,218.6091309,230.8406219,231.6348877,32.14863205,0.088940434,0.096834034,7014.501465,-16.022686,18.73791885,7016.587891,18.93074036,20.6535778,-171.0949707,10.08198452,8.686813354,1,-0.846384525,0.90724808,None,None,None,None,10.77813435,32.33440399,7017.216797,7018.870605,-150.1942749,1,None,49.99000168,743.3950195,1.605000019,None,None,None,None,None,None,None,None,None,None,378.9087524,400.2204285,401.6519775,393.5937195,32.01708603,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,745,36.61199951,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
