Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.028,32.000,226.8300018,231.6100006,230.7200012,30.05999947,0.01,0.01,6815,-3,1,6828.657227,3.807106256,2.309468746,431.6665344,2.343940735,2.081741095,0.998000026,-0.788000047,0.433000028,0.06325569,2.478350163,1.122977972,229.7200165,10.02666664,30.07999992,6827,6834.773926,436.0921936,0.997000039,3.664583921,None,388.5,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.04999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.040,32.000,226.8300018,231.2599945,230.7200012,30.05999947,0.01,0.01,6828,-3,1,6828,3.807106256,2.309468746,0,2.343940735,2.081741095,1,-0.788000047,0.433000028,0,2.478350163,1.122977972,229.6033325,10.02666664,30.07999992,6827,6834.116699,4.425682068,0.999000072,3.601328135,None,388.5,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.04999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.050,32.000,226.8300018,231.2599945,230.7200012,30.05999947,0.01,0.01,6828,-2,1,6828,2.713704109,2.309468746,0,1.834172845,2.081741095,1,-0.737000048,0.433000028,0,2.3994174,1.122977972,229.6033325,10.02666664,30.07999992,6827,6833.023438,3.915914059,0.999000072,3.522395372,None,388.5099792,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.04999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5099792,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.060,32.000,226.8300018,231.2599945,230.8899994,30.05999947,0.01,0.01,6828,-2,1,6828,2.713704109,2.309468746,0,1.834172845,2.081741095,1,-0.737000048,0.433000028,0,2.3994174,1.122977972,229.6599884,10.02666664,30.07999992,6827,6833.023438,3.915914059,0.999000072,3.522395372,None,388.5099792,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.04999924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5099792,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.074,32.000,227.019989,231.2599945,230.8899994,29.95999908,0.01,0.01,6793,-2,1,6806.613281,2.713704109,2.309468746,430.2743225,1.834172845,2.081741095,0.998000026,-0.737000048,0.433000028,0.063256636,2.3994174,1.122977972,229.7233276,9.993332863,29.97999954,6791,6811.636719,434.1902161,0.997000039,3.585652113,None,388.5099792,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.94999886,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5099792,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.086,32.000,227.019989,231.3699951,230.8899994,29.95999908,0.01,0.01,6793,-2,1,6806.613281,2.713704109,2.309468746,430.2743225,1.834172845,2.081741095,0.998000026,-0.737000048,0.433000028,0.063256636,2.3994174,1.122977972,229.7599945,9.993332863,29.97999954,6791,6811.636719,434.1902161,0.997000039,3.585652113,None,388.5099792,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.94999886,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5099792,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.100,32.000,227.019989,231.3699951,230.8399963,29.95999908,0.01,0.01,6793,-2,1,6806.613281,2.713704109,2.309468746,430.2743225,1.834172845,2.081741095,0.998000026,-0.737000048,0.433000028,0.063256636,2.3994174,1.122977972,229.7433319,9.993332863,29.97999954,6791,6811.636719,434.1902161,0.997000039,3.585652113,None,388.5099792,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.94999886,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5099792,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.113,32.000,227.019989,231.3699951,230.8399963,29.95999908,0.01,0.01,6793,-2,1,6806.613281,2.713704109,2.309468746,430.2743225,1.834172845,2.081741095,0.998000026,-0.737000048,0.433000028,0.063256636,2.3994174,1.122977972,229.7433319,9.993332863,29.97999954,6791,6811.636719,434.1902161,0.997000039,3.585652113,None,388.5099792,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.94999886,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5099792,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.122,32.000,226.5899963,231.3699951,230.8399963,30.12999916,0.01,0.01,6811,-2,1,6831.494141,2.713704109,2.309468746,528.7645874,1.834172845,2.081741095,0.997000039,-0.737000048,0.433000028,0.077478543,2.3994174,1.122977972,229.5999908,10.05000019,30.14999962,6810,6836.517578,532.680481,0.996000051,3.59987402,None,388.519989,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.519989,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.131,32.000,226.5899963,231.3899994,230.8399963,30.12999916,0.01,0.01,6811,-3,1,6831.494141,3.931847811,2.309468746,528.7645874,2.541540146,2.081741095,0.997000039,-0.763000011,0.433000028,0.077478543,2.438737869,1.122977972,229.6066437,10.05000019,30.14999962,6810,6837.735352,533.3878784,0.996000051,3.639194489,None,388.519989,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.519989,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11.151,31.900,226.5899963,231.3899994,230.5,30.12999916,0.01,0.01,6811,-3,1,6831.494141,3.931847811,2.309468746,528.7645874,2.541540146,2.081741095,0.997000039,-0.763000011,0.433000028,0.077478543,2.438737869,1.122977972,229.4933319,10.05000019,30.14999962,6810,6837.735352,533.3878784,0.996000051,3.639194489,None,388.519989,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.519989,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12.164,31.900,226.25,231.3899994,230.5,30.25,0.01,0.01,6811,-3,1,6831.494141,3.931847811,2.169197321,528.7645874,2.541540146,1.92494607,0.997000039,-0.763000011,0.461000025,0.077478543,2.438737869,1.091674566,229.3800049,10.05000019,30.14999962,6810,6837.595215,533.2310791,0.996000051,3.607891083,None,388.519989,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.519989,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13.172,31.900,226.25,231.3899994,230.5,30.25,0.01,0.01,6828,-3,1,6848.54541,3.931847811,2.169197321,530.086792,2.541540146,1.92494607,0.997000039,-0.763000011,0.461000025,0.077478543,2.438737869,1.091674566,229.3800049,10.09000015,30.27000046,6827,6854.646484,534.5532837,0.996000051,3.607891083,None,388.519989,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.23999977,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.519989,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14.182,31.900,226.25,231.7799988,230.5,30.25,0.01,0.01,6828,-3,1,6848.54541,3.94218111,2.169197321,530.086792,2.557497025,1.92494607,0.997000039,-0.761000037,0.461000025,0.077478543,2.435649395,1.091674566,229.5100098,10.09000015,30.27000046,6827,6854.657227,534.5692139,0.996000051,3.604802608,None,388.5299988,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.23999977,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5299988,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15.192,31.900,226.25,231.7799988,230.7899933,30.25,0.01,0.01,6828,-3,1,6848.54541,3.94218111,2.309468746,530.086792,2.557497025,2.081741095,0.997000039,-0.761000037,0.433000028,0.077478543,2.435649395,1.122977972,229.6066742,10.09000015,30.27000046,6827,6854.797363,534.7260132,0.996000051,3.636106014,None,388.5299988,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.23999977,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5299988,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16.204,31.900,225.9199982,231.7799988,230.7899933,30.37999916,0.01,0.01,6828,-3,1,6848.54541,3.94218111,2.309468746,530.086792,2.557497025,2.081741095,0.997000039,-0.761000037,0.433000028,0.077478543,2.435649395,1.122977972,229.4966583,10.13333321,30.39999962,6858,6854.797363,534.7260132,0.996000051,3.636106014,None,388.5299988,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.37000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5299988,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17.215,31.900,225.9199982,231.6599884,230.7899933,30.37999916,0.01,0.01,6859,-3,1,6865.865234,3.94218111,2.309468746,306.9592896,2.557497025,2.081741095,0.999000072,-0.761000037,0.433000028,0.044723466,2.435649395,1.122977972,229.456665,10.13333321,30.39999962,6858,6872.117188,311.5985107,0.997000039,3.603350878,None,388.5299988,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.37000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5299988,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
18.228,31.900,225.9199982,231.6599884,230.7899933,30.37999916,0.01,0.01,6859,-3,1,6865.865234,3.931847811,2.309468746,306.9592896,2.541540146,2.081741095,0.999000072,-0.763000011,0.433000028,0.044723466,2.438737869,1.122977972,229.456665,10.13333321,30.39999962,6858,6872.106445,311.58255,0.997000039,3.606439352,None,388.5299988,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.37000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5299988,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19.241,31.900,225.9199982,231.6599884,230.769989,30.37999916,0.01,0.01,6859,-3,1,6865.865234,3.931847811,2.173913002,306.9592896,2.541540146,1.930258512,0.999000072,-0.763000011,0.460000008,0.044723466,2.438737869,1.092801094,229.4499969,10.13333321,30.39999962,6858,6871.970703,311.4310913,0.997000039,3.576262474,None,388.539978,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.37000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.539978,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20.252,31.900,225.6599884,231.6599884,230.769989,30.12999916,0.01,0.01,6787,-3,1,6800.601074,3.931847811,2.173913002,429.8930054,2.541540146,1.930258512,0.998000026,-0.763000011,0.460000008,0.06325569,2.438737869,1.092801094,229.363327,10.05000019,30.14999962,6785,6806.706543,434.3648071,0.996000051,3.59479475,None,388.539978,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.539978,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
21.272,31.800,225.6599884,231.75,230.769989,30.12999916,0.01,0.01,6787,-3,1,6800.601074,3.931847811,2.173913002,429.8930054,2.541540146,1.930258512,0.998000026,-0.763000011,0.460000008,0.06325569,2.438737869,1.092801094,229.3933105,10.05000019,30.14999962,6785,6806.706543,434.3648071,0.996000051,3.59479475,None,388.539978,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.539978,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
22.283,31.800,225.6599884,231.75,230.7599945,30.12999916,0.01,0.01,6787,-2,1,6800.601074,2.713704109,2.173913002,429.8930054,1.834172845,1.930258512,0.998000026,-0.737000048,0.460000008,0.06325569,2.3994174,1.092801094,229.3899994,10.05000019,30.14999962,6785,6805.48877,433.6574402,0.996000051,3.555474281,None,388.539978,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.539978,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
23.296,31.800,225.6599884,231.75,230.7599945,30.12999916,0.01,0.01,6787,-2,1,6800.601074,2.713704109,2.173913002,429.8930054,1.834172845,1.930258512,0.998000026,-0.737000048,0.460000008,0.06325569,2.3994174,1.092801094,229.3899994,10.05000019,30.14999962,6785,6805.48877,433.6574402,0.996000051,3.555474281,None,388.539978,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12000084,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.539978,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
24.305,31.800,225.6900024,231.75,230.7599945,30.13999939,0.01,0.01,6794,-2,1,6807.615234,2.713704109,2.173913002,430.3347473,1.834172845,1.930258512,0.998000026,-0.737000048,0.460000008,0.06325569,2.3994174,1.092801094,229.4000092,10.05333328,30.15999985,6793,6812.50293,434.0991821,0.997000039,3.555474281,None,388.5499878,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12999916,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5499878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
25.315,31.800,225.6900024,231.6799927,230.7599945,30.13999939,0.01,0.01,6794,-3,1,6807.615234,2.713704109,2.173913002,430.3347473,1.834172845,1.930258512,0.998000026,-0.763000011,0.460000008,0.06325569,2.3994174,1.092801094,229.3766632,10.05333328,30.15999985,6793,6812.50293,434.0991821,0.997000039,3.555474281,None,388.5499878,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12999916,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5499878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
26.331,31.800,225.6900024,231.6799927,230.6399994,30.13999939,0.01,0.01,6794,-3,1,6807.615234,3.931847811,2.173913002,430.3347473,2.541540146,1.930258512,0.998000026,-0.763000011,0.460000008,0.06325569,2.438737869,1.092801094,229.3366699,10.05333328,30.15999985,6793,6813.720703,434.8065491,0.997000039,3.59479475,None,388.5499878,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12999916,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5499878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
27.340,31.800,225.8399963,231.6799927,230.6399994,29.92000008,0.01,0.01,6794,-3,1,6807.615234,3.931847811,2.173913002,430.3347473,2.541540146,1.930258512,0.998000026,-0.763000011,0.460000008,0.06325569,2.438737869,1.092801094,229.3866577,10.05333328,30.15999985,6793,6813.720703,434.8065491,0.997000039,3.59479475,None,388.5499878,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.12999916,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5499878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
28.351,31.800,225.8399963,231.6799927,230.6399994,29.92000008,0.01,0.01,6747,-3,1,6760.520996,3.931847811,2.173913002,427.3593445,2.541540146,1.930258512,0.998000026,-0.763000011,0.460000008,0.06325569,2.438737869,1.092801094,229.3866577,9.980000496,29.94000053,6746,6766.626465,431.8311462,0.997000039,3.59479475,None,388.5499878,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.91000175,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5499878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29.359,31.800,225.8399963,231.5499878,230.6399994,29.92000008,0.01,0.01,6747,-3,1,6760.520996,3.703703403,2.173913002,427.3593445,2.171962023,1.930258512,0.998000026,-0.810000062,0.460000008,0.06325569,2.514948606,1.092801094,229.3433228,9.980000496,29.94000053,6746,6766.398438,431.4615784,0.997000039,3.671005487,None,388.5499878,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.91000175,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5499878,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
30.370,31.800,225.8399963,231.5499878,230.6799927,29.92000008,0.01,0.01,6747,-3,1,6760.520996,3.703703403,2.173913002,427.3593445,2.171962023,1.930258512,0.998000026,-0.810000062,0.460000008,0.06325569,2.514948606,1.092801094,229.3566437,9.980000496,29.94000053,6746,6766.398438,431.4615784,0.997000039,3.671005487,None,388.5599976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.91000175,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5599976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
31.396,31.700,225.6699982,231.5499878,230.6799927,30.26000023,0.01,0.01,6747,-3,1,6760.520996,3.703703403,2.173913002,427.3593445,2.171962023,1.930258512,0.998000026,-0.810000062,0.460000008,0.06325569,2.514948606,1.092801094,229.2999878,9.980000496,29.94000053,6817,6766.398438,431.4615784,0.997000039,3.671005487,None,388.5599976,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.91000175,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,388.5599976,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
