Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.050,32.000,225.6764526,226.3612976,224.9561005,29.90363503,29.95285797,29.78577614,6743.484863,6776.060547,6698.026855,6744.354004,6778.243652,6699.84668,108.3022614,172.0202942,156.1236267,1,1,1,None,None,None,225.6646118,29.88671303,89.66014099,20216.07227,20222.2832,436.4461975,1,None,50.04000092,172.029007,0.017999999,None,None,None,None,None,None,None,None,None,None,390.9224243,392.1392517,389.6244507,390.8953552,0.130044207,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,172.0420074,17.88199997,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.069,32.000,225.6746368,226.3435516,224.9077148,29.88012695,29.95599174,29.75942612,6746.42041,6773.274902,6696.376465,6747.223145,6775.493164,6698.192383,104.067337,173.3809204,155.9817505,1,1,1,None,None,None,225.6419678,29.88075447,89.64226532,20206.72852,20220.71875,436.4461975,1,None,50.04000092,172.029007,0.017999999,None,None,None,None,None,None,None,None,None,None,390.8716125,392.0577698,389.6239624,390.8118896,0.148711279,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,172.048996,17.88199997,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.092,32.000,225.6633759,226.3286438,224.8409576,29.88872528,29.95814896,29.77053833,6741.838867,6772.898926,6691.989746,6742.658203,6775.119141,6693.8125,105.0824661,173.4480133,156.2087555,1,1,1,None,None,None,225.6419678,29.88075447,89.64226532,20202.22266,20220.71875,433.4299927,1,None,50.06000137,172.0350037,0.017999999,None,None,None,None,None,None,None,None,None,None,390.8489685,392.0012207,389.42453,390.7582092,0.171700731,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,172.0549927,17.88199997,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.115,32.000,225.6976776,226.3215179,224.8528748,29.89433861,29.94589424,29.76112747,6739.717285,6773.829102,6688.675781,6740.528809,6776.01416,6690.479004,105.0824661,173.4480133,156.2087555,1,1,1,None,None,None,225.6109772,29.86518288,89.59555054,20205.83008,20206.83984,432.0064697,1,None,50.04000092,172.0420074,0.017999999,None,None,None,None,None,None,None,None,None,None,390.9083862,391.9888611,389.4451904,390.7808228,0.164294794,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,172.0610046,17.88199997,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.135,32.000,225.7151947,226.2611084,224.8972168,29.89841461,29.94078827,29.76344681,6744.047363,6773.033203,6688.675781,6740.528809,6776.01416,6690.479004,104.5969315,172.0658569,155.3436737,1,1,1,None,None,None,225.6245117,29.86712074,89.60136414,20201.20117,20210.42188,430.7461853,1,None,50.04000092,172.0480042,0.017999999,None,None,None,None,None,None,None,None,None,None,390.9387207,391.8842468,389.5219727,390.7816467,0.165139034,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,172.0679932,17.88199997,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.154,32.000,225.7151947,226.2611084,224.8972168,29.88333511,29.93632889,29.76044464,6744.047363,6773.033203,6688.750488,6744.847168,6775.245605,6690.517578,103.8760681,173.1821289,153.4090576,1,1,1,None,None,None,225.5830841,29.86754799,89.60264587,20202.3457,20205.7793,430.1112366,1,None,49.99000168,172.0549927,0.017999999,None,None,None,None,None,None,None,None,None,None,390.8137817,391.935791,389.380127,390.7098999,0.160408586,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,172.0740051,17.88199997,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.178,32.000,225.6430664,226.2908783,224.8153229,29.87998009,29.93968964,29.75790024,6744.97168,6768.956543,6687.599609,6743.92334,6773.86084,6689.328613,104.729126,173.6010742,152.0951691,1,1,1,None,None,None,225.6772003,29.86003685,89.58010864,20195.24219,20206.93164,430.425354,1,None,50.04000092,172.0619965,0.017999999,None,None,None,None,None,None,None,None,None,None,390.9708252,392.0959778,389.5519714,390.8729248,0.160408586,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,172.0740051,17.88199997,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.200,32.000,225.7337341,226.3600616,224.8438416,29.88496399,29.95514488,29.82835007,6736.867676,6771.01709,6687.35791,6737.706543,6773.210449,6689.162109,106.3225784,172.3631287,155.3685455,1,1,1,None,None,None,225.588913,29.85919189,89.57757568,20182.23438,20199.90625,434.0542603,1,None,50.00999832,172.0679932,0.017999999,None,None,None,None,None,None,None,None,None,None,390.9708252,392.0959778,389.5519714,390.8729248,0.156278074,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,172.0809937,17.88299942,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.222,32.000,225.3746033,225.9570923,224.6117401,29.88595772,29.98451996,29.75776672,6733.947754,6769.127441,6679.158691,6734.759766,6771.335449,6680.964844,104.6089554,172.8940582,155.3475189,1,1,1,None,None,None,225.3144684,29.88948631,89.66845703,20197.15234,20199.90625,434.0542603,1,None,50.00999832,172.0679932,0.017999999,None,None,None,None,None,None,None,None,None,None,390.6747742,392.0556335,389.4295349,390.7200012,0.110016808,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,172.0879974,17.88299942,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.246,32.000,225.5539246,226.2124634,224.7745056,29.88595772,29.93461418,29.75085068,6737.641113,6769.361816,6690.149414,6738.444336,6771.570801,6691.952637,104.0252838,172.9626465,155.3361664,1,1,1,None,None,None,225.3144684,29.88948631,89.66845703,20194.99609,20186.875,432.8505249,1,None,50.04000092,172.0740051,0.017999999,None,None,None,None,None,None,None,None,None,None,390.6593933,391.7999878,389.3094482,390.5895996,0.196932048,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,172.0939941,17.88299942,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
