Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.020,32.000,224.122,224.699,227.8763,30.59645,30.59924,30.53027,6868.779,6891.33,6946.126,6875.062,6868.44,6948.756,301.543,231.6112,290.0065,1,1,1,None,None,None,None,30.59545,91.78635,20643.23,20659.64,823.1608,1,None,50,10084.48,3.606,None,None,None,None,None,None,None,None,None,None,388.1794,389.1786,394.6817,390.6799,0.067621,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10088.09,1306.08,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.030,32.000,224.6143,225.159,228.2445,30.51107,30.57457,30.50463,6841.054,6867.249,6951.28,6847.834,6871.087,6957.342,304.6624,231.6112,290.0065,1,1,1,None,None,None,None,30.59545,91.78635,20643.23,20659.64,823.1608,1,None,49.95,10084.49,3.606,None,None,None,None,None,None,None,None,None,None,387.6433,388.5609,394.3398,390.1813,0.084282,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10088.09,1306.08,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.039,32.000,224.4534,225.1247,228.2445,30.51107,30.57457,30.50463,6841.054,6867.249,6951.28,6847.834,6871.087,6957.342,304.6624,229.6449,290.3803,1,1,1,None,None,None,None,30.53009,91.59026,20659.58,20676.04,824.6876,1,None,49.95,10084.5,3.606,None,None,None,None,None,None,None,None,None,None,388.7533,389.916,395.1537,391.2743,0.052739,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10088.1,1306.08,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.049,32.000,224.4534,225.1247,228.1488,30.62536,30.56799,30.57897,6845.724,6882.187,6948.626,6852.371,6886.132,6954.63,301.7549,228.8536,289.5336,0.998998,1,1,None,None,None,None,30.53704,91.61112,20678.66,20695.12,825.1241,1,None,49.95,10084.5,3.606,None,None,None,None,None,None,None,None,None,None,389.0291,389.916,395.1537,391.2743,0.052739,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10088.1,1306.08,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.060,32.000,224.6126,225.272,228.1006,30.54559,30.61536,30.50335,6841.814,6883.237,6958.051,6848.587,6887.199,6964.161,304.5088,233.5669,291.6584,1,1,1,None,None,None,None,30.53704,91.61112,20678.66,20695.12,825.1241,1,None,49.95,10084.5,3.606,None,None,None,None,None,None,None,None,None,None,389.0291,390.1711,395.0702,391.4235,0.051251,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10088.11,1306.081,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.070,32.000,224.5548,225.2293,228.1284,30.56613,30.63667,30.51544,6845.839,6883.237,6958.051,6848.587,6887.199,6964.161,304.5088,233.5669,291.6584,1,1,1,None,None,None,None,30.55477,91.66431,20683.1,20699.74,829.734,1,None,49.95,10084.51,3.606,None,None,None,None,None,None,None,None,None,None,389.0734,390.0972,395.1184,391.3815,0.105462,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10088.12,1306.081,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.080,32.000,224.5548,225.2293,228.1284,30.56613,30.63667,30.51544,6845.839,6883.031,6962.331,6852.433,6886.993,6968.245,300.5413,233.5589,287.034,1,1,1,None,None,None,None,30.5236,91.57081,20687.63,20704.26,829.6429,1,None,49.95,10084.52,3.606,None,None,None,None,None,None,None,None,None,None,389.3665,390.6004,395.4852,391.8174,0.043632,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10088.12,1306.081,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.090,32.000,224.8074,225.5199,228.3402,30.49876,30.54913,30.52291,6846.575,6902.494,6967.714,6873.096,6906.377,6973.685,306.2658,231.5623,288.5175,1,1,1,None,None,None,None,30.62509,91.87527,20736.48,20752.94,829.6429,1,None,49.95,10084.52,3.606,None,None,None,None,None,None,None,None,None,None,389.3665,390.6004,395.4852,391.8174,0.043632,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10088.13,1306.081,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.100,32.000,224.5769,225.1596,228.0556,30.51185,30.63803,30.54227,6842.823,6886.889,6973.223,6849.693,6890.821,6973.685,306.2658,231.5623,288.5175,1,1,1,None,None,None,None,30.62509,91.87527,20736.48,20752.94,826.3457,1,None,49.95,10084.53,3.606,None,None,None,None,None,None,None,None,None,None,389.1901,390.4534,395.3416,391.6617,0.085736,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10088.14,1306.082,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.110,32.000,224.5769,225.1596,228.0556,30.51185,30.63803,30.54227,6842.823,6886.889,6973.223,6849.693,6890.821,6979.3,306.7178,232.7442,291.1852,0.998997,1,1,None,None,None,None,30.56405,91.69215,20702.94,20730.18,824.3472,1,None,49.95,10084.54,3.606,None,None,None,None,None,None,None,None,None,None,389.1205,390.0859,394.8208,391.3424,0.064154,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10088.14,1306.082,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
