Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.020,18000,220.9682,110.5646,0,16.61581,0,0,3679.116,0,0,3704.672,0,0,-439.0838,0,0,0.99274,0,0,None,None,None,None,5.642443,16.92733,3679.613,3705.312,-435.6447,0.993064,None,49.95,9896.74,3.46,None,None,None,None,None,None,None,None,None,None,0,0,0,0,16.61581,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9900.2,1284.315,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.030,18000,220.8863,110.7403,0,16.92229,0,0,3708.731,0,0,3704.672,0,0,-439.0838,0,0,0.99274,0,0,None,None,None,None,5.552676,16.65803,3623.978,3650.481,-439.0838,0.99274,None,49.95,9896.742,3.46,None,None,None,None,None,None,None,None,None,None,0,0,0,0,16.65803,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9900.202,1284.315,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.040,18000,220.8863,110.7403,0,16.92229,0,0,3708.731,0,0,3733.281,0,0,-427.4309,0,0,0.993424,0,0,None,None,None,None,5.640765,16.92229,3708.731,3733.281,-427.4309,0.993424,None,49.95,9896.743,3.46,None,None,None,None,None,None,None,None,None,None,0,0,0,0,16.7407,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9900.202,1284.315,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.050,18000,220.7653,110.465,0,16.7407,0,0,3665.123,0,0,3691.053,0,0,-432.8694,0,0,0.992923,0,0,None,None,None,None,5.527628,16.92229,3708.731,3733.281,-427.4309,0.993424,None,49.95,9896.743,3.46,None,None,None,None,None,None,None,None,None,None,0,0,0,0,16.7407,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9900.203,1284.315,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.060,18000,220.2434,109.82,0,16.69398,0,0,3619.039,0,0,3691.053,0,0,-432.8694,0,0,0.992923,0,0,None,None,None,None,5.527628,16.58288,3619.126,3644.921,-432.8694,0.992923,None,49.95,9896.745,3.46,None,None,None,None,None,None,None,None,None,None,0,0,0,0,16.58288,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9900.205,1284.315,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.070,18000,220.2434,109.82,0,16.69398,0,0,3619.039,0,0,3643.118,0,0,-418.1688,0,0,0.993391,0,0,None,None,None,None,5.564659,16.69398,3619.039,3643.118,-418.1688,0.993391,None,49.95,9896.746,3.46,None,None,None,None,None,None,None,None,None,None,0,0,0,0,16.55501,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9900.206,1284.315,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.080,18000,220.847,110.3926,0,16.55501,0,0,3620.171,0,0,3646.307,0,0,-435.7964,0,0,0.992832,0,0,None,None,None,None,5.540663,16.62199,3631.503,3657.22,-432.9437,0.992968,None,49.95,9896.746,3.46,None,None,None,None,None,None,None,None,None,None,0,0,0,0,16.55501,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9900.206,1284.316,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.090,18000,220.6252,110.5598,0,16.62199,0,0,3719.949,0,0,3745.179,0,0,-433.983,0,0,0.992832,0,0,None,None,None,None,5.540663,16.62199,3631.503,3657.22,-432.9437,0.992968,None,49.95,9896.748,3.46,None,None,None,None,None,None,None,None,None,None,0,0,0,0,16.62199,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9900.208,1284.316,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.099,18000,221.1812,110.5319,0,16.93731,0,0,3719.949,0,0,3745.179,0,0,-433.983,0,0,0.993264,0,0,None,None,None,None,5.633295,16.89989,3719.949,3745.179,-433.983,0.993264,None,49.95,9896.749,3.46,None,None,None,None,None,None,None,None,None,None,0,0,0,0,16.93731,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9900.209,1284.316,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.108,18000,221.1812,110.5319,0,16.93731,0,0,3708.842,0,0,3733.694,0,0,-430.0737,0,0,0.993344,0,0,None,None,None,None,5.645769,16.93731,3708.842,3738.836,-431.8045,0.993308,None,49.95,9896.751,3.46,None,None,None,None,None,None,None,None,None,None,0,0,0,0,16.93731,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9900.209,1284.316,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
