Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.020,32.000,216.801,108.5821,0,30.56976,0,0,6629.172,0,0,6634.34,0,0,-261.8136,0,0,1,0,0,None,None,None,None,10.17372,30.52115,6602.256,6607.449,-261.9265,1,None,49.91,9758.574,3.459,None,None,None,None,None,None,None,None,None,None,0,0,0,0,30.52115,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9762.031,1254.917,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.030,32.000,216.8763,108.4847,0,30.51127,0,0,6619.929,0,0,6625.039,0,0,-260.1287,0,0,1,0,0,None,None,None,None,10.17042,30.51127,6619.929,6625.039,-261.9265,1,None,49.91,9758.574,3.459,None,None,None,None,None,None,None,None,None,None,0,0,0,0,30.52115,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9762.034,1254.917,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.040,32.000,215.6004,107.8647,0,30.76115,0,0,6596.626,0,0,6601.776,0,0,-260.1287,0,0,1,0,0,None,None,None,None,10.17042,30.51127,6619.929,6625.039,-260.1287,1,None,49.89,9758.577,3.459,None,None,None,None,None,None,None,None,None,None,0,0,0,0,30.76114,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9762.037,1254.917,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.050,32.000,216.787,108.4978,0,30.76115,0,0,6596.626,0,0,6601.776,0,0,-260.7019,0,0,1,0,0,None,None,None,None,10.12748,30.38244,6618.667,6623.64,-256.6305,1,None,49.91,9758.58,3.459,None,None,None,None,None,None,None,None,None,None,0,0,0,0,30.38244,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9762.039,1254.917,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.062,32.000,216.787,108.4978,0,30.38244,0,0,6618.667,0,0,6604.772,0,0,-259.5811,0,0,1,0,0,None,None,None,None,10.23351,30.70053,6599.669,6604.772,-259.5811,1,None,49.96,9758.582,3.459,None,None,None,None,None,None,None,None,None,None,0,0,0,0,30.38244,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9762.039,1254.917,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.072,32.000,215.849,108.1153,0,30.67416,0,0,6644.957,0,0,6649.876,0,0,-255.7314,0,0,1,0,0,None,None,None,None,10.23351,30.70053,6599.669,6604.772,-259.5811,1,None,49.96,9758.582,3.459,None,None,None,None,None,None,None,None,None,None,0,0,0,0,30.70053,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9762.042,1254.917,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.082,32.000,216.8423,108.3845,0,30.49693,0,0,6594.578,0,0,6649.876,0,0,-255.7314,0,0,1,0,0,None,None,None,None,10.22472,30.67416,6644.957,6599.609,-257.6577,1,None,49.96,9758.585,3.459,None,None,None,None,None,None,None,None,None,None,0,0,0,0,30.49693,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9762.045,1254.918,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.092,32.000,216.8423,108.3845,0,30.49693,0,0,6594.578,0,0,6599.609,0,0,-262.4429,0,0,1,0,0,None,None,None,None,10.24491,30.73472,6609.042,6614.25,-262.4429,1,None,49.96,9758.588,3.459,None,None,None,None,None,None,None,None,None,None,0,0,0,0,30.73472,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9762.047,1254.918,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.102,32.000,216.3998,108.254,0,30.74269,0,0,6664.391,0,0,6669.302,0,0,-255.8923,0,0,1,0,0,None,None,None,None,10.24756,30.73472,6609.042,6614.25,-262.4429,1,None,49.96,9758.588,3.459,None,None,None,None,None,None,None,None,None,None,0,0,0,0,30.73472,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9762.047,1254.918,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.111,32.000,215.3812,108.2933,0,30.52087,0,0,6587.287,0,0,6669.302,0,0,-255.8923,0,0,1,0,0,None,None,None,None,10.24756,30.74269,6587.287,6592.339,-258.0452,1,None,49.96,9758.591,3.459,None,None,None,None,None,None,None,None,None,None,0,0,0,0,30.52087,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9762.05,1254.918,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
