Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.020,32000,223.0694,224.8107,228.3949,30.63179,30.57458,30.45247,6806.711,6836.63,6901.032,6820.399,6845.864,6911.923,381.4774,355.4281,387.8621,0.998435,0.998651,0.998424,None,None,None,None,30.54749,91.64248,20547.38,20578.14,1124.768,0.998505,None,49.97,9984.827,3.521,None,None,None,None,None,None,None,None,None,None,386.3563,389.0532,393.6303,389.6799,0.11298,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9988.351,1291.972,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.030,32000,223.0694,224.8107,228.3949,30.63179,30.57458,30.45247,6814.7,6844.445,6916.394,6825.368,6853.671,6927.185,381.4655,355.5096,386.5063,0.998437,0.998654,0.998442,None,None,None,None,30.55295,91.65884,20575.54,20606.19,1131.145,0.998476,None,49.97,9984.836,3.521,None,None,None,None,None,None,None,None,None,None,384.5836,389.1707,392.7195,388.8247,0.130149,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9988.351,1291.972,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.039,32000,222.046,224.6944,226.7434,30.56225,30.41217,30.49388,6750.461,6794.141,6918.028,6761.577,6803.49,6928.847,379.1061,353.375,385.5581,0.998453,0.998664,0.998441,None,None,None,None,30.54455,91.63365,20533.52,20563.94,1131.145,0.998476,None,49.97,9984.836,3.521,None,None,None,None,None,None,None,None,None,None,384.5836,389.1707,392.7195,388.8247,0.130149,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9988.359,1291.973,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.049,32000,222.9635,224.2563,227.4176,30.64499,30.57402,30.47538,6813.706,6843.463,6910.386,6824.228,6852.558,6921.029,379.1061,353.375,385.5581,0.998453,0.998664,0.998441,None,None,None,None,30.54455,91.63365,20533.52,20563.94,1118.039,0.998521,None,49.94,9984.844,3.521,None,None,None,None,None,None,None,None,None,None,386.1727,388.5385,393.7946,389.502,0.145904,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9988.367,1291.973,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.059,32000,222.9635,224.2563,227.4176,30.64499,30.57402,30.47538,6813.706,6843.463,6910.386,6824.228,6852.558,6921.029,378.8268,352.9492,383.6772,0.998458,0.998673,0.998462,None,None,None,None,30.5648,91.69439,20567.55,20597.78,1115.453,0.998533,None,49.97,9984.852,3.521,None,None,None,None,None,None,None,None,None,None,385.0887,387.7143,393.0704,388.6245,0.127771,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9988.375,1291.974,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.069,32000,222.3376,223.8535,226.946,30.60788,30.54952,30.46135,6790.089,6831.414,6892.078,6800.729,6840.634,6824.504,398.3046,353.4333,384.6649,0.998237,0.99862,0.99841,None,None,None,None,30.31906,90.95718,20231.8,20263.69,1136.403,0.998533,None,49.97,9984.852,3.521,None,None,None,None,None,None,None,None,None,None,385.0887,387.7143,393.0704,388.6245,0.127771,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9988.375,1291.974,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.079,32000,222.1128,223.5997,226.6523,30.61756,30.56693,30.45719,6769.72,6816.41,6878.119,6780.563,6825.311,6889.013,398.3046,353.4333,384.6649,0.998237,0.99862,0.99841,None,None,None,None,30.31906,90.95718,20231.8,20263.69,1136.403,0.998426,None,49.97,9984.861,3.521,None,None,None,None,None,None,None,None,None,None,379.123,387.1245,393.129,386.4588,0.452009,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9988.384,1291.974,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.088,32000,222.744,224.2361,226.6523,30.61756,30.56693,30.45719,6769.72,6816.41,6878.119,6780.563,6825.311,6889.013,383.3035,348.4469,387.2759,0.998401,0.998696,0.998419,None,None,None,None,30.54723,91.64168,20464.25,20494.82,1119.026,0.998508,None,49.94,9984.869,3.521,None,None,None,None,None,None,None,None,None,None,385.7927,388.377,394.1576,389.4424,0.139224,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9988.392,1291.974,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.098,32000,222.744,224.2361,227.5737,30.57514,30.52019,30.41683,6787.934,6828.198,6895.778,6798.634,6837.159,6906.716,381.2888,349.9344,388.536,0.99844,0.99868,0.998416,None,None,None,None,30.5279,91.58369,20521.94,20552.48,1119.979,0.998514,None,49.99,9984.878,3.521,None,None,None,None,None,None,None,None,None,None,385.6463,388.377,394.1576,389.4424,0.139224,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9988.392,1291.974,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.108,32000,222.5506,224.182,227.0323,30.55815,30.50287,30.40978,6779.697,6819.535,6888.307,6790.465,6828.516,6899.205,382.2685,349.9344,388.536,0.99844,0.99868,0.998416,None,None,None,None,30.5279,91.58369,20521.94,20552.48,1119.979,0.998514,None,49.99,9984.878,3.521,None,None,None,None,None,None,None,None,None,None,385.6463,387.89,393.6869,389.0744,0.126539,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9988.4,1291.975,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11.126,31900,222.3784,223.817,226.8981,30.55815,30.50287,30.40978,6779.697,6819.535,6888.307,6790.465,6828.516,6899.205,382.2685,350.1026,387.6297,0.998414,0.998685,0.99842,None,None,None,None,30.49026,91.47079,20487.54,20518.13,1120.001,0.998509,None,49.99,9984.887,3.521,None,None,None,None,None,None,None,None,None,None,385.1595,387.651,392.9875,388.5993,0.155467,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,9988.41,1291.975,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
